"ID_2","Programme","Annee","ID_Site","Protocole","AB_tot","BM_tot","Richesse_tot","LC_","Long","Lat","Sand","Silt","Clay","pH","N","P","K","CN","CaCO3","C_org","tas_mean_3","tas_mean_6","tas_mean_120","tas_sd_3","tas_sd_6","tas_sd_120","tasmax_mean_3","tasmax_mean_6","tasmax_mean_120","tasmax_sd_3","tasmax_sd_6","tasmax_sd_120","tasmin_mean_3","tasmin_mean_6","tasmin_mean_120","tasmin_sd_3","tasmin_sd_6","tasmin_sd_120","pr_mean_3","pr_mean_6","pr_mean_120","pr_sd_3","pr_sd_6","pr_sd_120","pet_mean_3","pet_mean_6","pet_mean_120","pet_sd_3","pet_sd_6","pet_sd_120"
1,"biobio","2010","FR01i","AITCTM",114.814814814815,NA,7,"Nial",1.032862656,43.41846898,23.7,48,28.3,7.59851980209351,1.71598601341248,21.4077053070068,241.911483764648,9.00171089172363,87.8081512451172,0.4,9.05000000000003,8.0666666666667,13.4783333333334,4.03360880601974,3.62127970014284,6.06775723568012,12.8833333333334,11.4833333333334,17.5566666666667,4.64363363470174,4.17692071587032,6.56072773855033,3.8166666666667,3.78333333333336,8.88250000000002,3.25320354932386,3.11619426009782,5.47532528483833,39.7233333333333,58.3216666666667,59.5458333333333,3.12212000623508,24.0780841568981,32.9631955593597,76.6666666666667,56.56,88.7355833333333,33.388052254262,31.1900163513904,45.7763427726599
2,"biobio","2010","FR01k","AITCTM",70.3703703703703,NA,4,"Nial",1.034886976,43.41954758,23.7,48,28.3,7.59851980209351,1.71598601341248,21.4077053070068,241.911483764648,9.00171089172363,87.8081512451172,0.5,9.01666666666669,8.03333333333336,13.4233333333334,4.04145188432738,3.64220629106407,6.06287411852092,12.8833333333334,11.45,17.5083333333334,4.64363363470174,4.17468561690579,6.55877862340332,3.75000000000002,3.73333333333335,8.83083333333335,3.2046840717924,3.11731722265582,5.47001445366,40.0633333333333,58.79,59.9868333333333,3.11450370578256,24.2397087441248,33.2320861956207,77.6933333333333,57.6516666666667,89.8845,33.4458432893137,31.2200790624666,45.8482436794191
3,"biobio","2010","FR01g","AITCTM",85.1851851851851,NA,4,"Nial",1.033815958,43.41994662,23.7,48,28.3,7.59851980209351,1.71598601341248,21.4077053070068,241.911483764648,9.00171089172363,87.8081512451172,0.5,9.01666666666669,8.03333333333336,13.4233333333334,4.04145188432738,3.64220629106407,6.06287411852092,12.8833333333334,11.45,17.5083333333334,4.64363363470174,4.17468561690579,6.55877862340332,3.75000000000002,3.73333333333335,8.83083333333335,3.2046840717924,3.11731722265582,5.47001445366,40.0633333333333,58.79,59.9868333333333,3.11450370578256,24.2397087441248,33.2320861956207,77.6933333333333,57.6516666666667,89.8845,33.4458432893137,31.2200790624666,45.8482436794191
4,"biobio","2010","FR01e","AITCTM",96.2962962962962,NA,5,"Nial",1.031599934,43.42081579,23.7,48,28.3,7.59851980209351,1.71598601341248,21.4077053070068,241.911483764648,9.00171089172363,87.8081512451172,0.5,9.05000000000003,8.0666666666667,13.4783333333334,4.03360880601974,3.62127970014284,6.06775723568012,12.8833333333334,11.4833333333334,17.5566666666667,4.64363363470174,4.17692071587032,6.56072773855033,3.8166666666667,3.78333333333336,8.88250000000002,3.25320354932386,3.11619426009782,5.47532528483833,39.7233333333333,58.3216666666667,59.5458333333333,3.12212000623508,24.0780841568981,32.9631955593597,76.6666666666667,56.56,88.7355833333333,33.388052254262,31.1900163513904,45.7763427726599
5,"biobio","2010","FR01a","AITCTM",44.4444444444444,NA,4,"Nial",1.032361794,43.42182305,23.7,48,28.3,7.59851980209351,1.71598601341248,21.4077053070068,241.911483764648,9.00171089172363,87.8081512451172,0.5,9.05000000000003,8.0666666666667,13.4783333333334,4.03360880601974,3.62127970014284,6.06775723568012,12.8833333333334,11.4833333333334,17.5566666666667,4.64363363470174,4.17692071587032,6.56072773855033,3.8166666666667,3.78333333333336,8.88250000000002,3.25320354932386,3.11619426009782,5.47532528483833,39.7233333333333,58.3216666666667,59.5458333333333,3.12212000623508,24.0780841568981,32.9631955593597,76.6666666666667,56.56,88.7355833333333,33.388052254262,31.1900163513904,45.7763427726599
6,"biobio","2010","FR01b","AITCTM",48.1481481481481,NA,4,"Nial",1.034247313,43.42283461,23.7,48,28.3,7.53258419036865,1.679354429245,14.8633432388306,250.930435180664,9.29418849945068,102.389152526855,0.4,9.01666666666669,8.03333333333336,13.4233333333334,4.04145188432738,3.64220629106407,6.06287411852092,12.8833333333334,11.45,17.5083333333334,4.64363363470174,4.17468561690579,6.55877862340332,3.75000000000002,3.73333333333335,8.83083333333335,3.2046840717924,3.11731722265582,5.47001445366,40.0633333333333,58.79,59.9868333333333,3.11450370578256,24.2397087441248,33.2320861956207,77.6933333333333,57.6516666666667,89.8845,33.4458432893137,31.2200790624666,45.8482436794191
7,"biobio","2010","FR02c","AITCTM",48.1481481481481,NA,3,"Nial",0.83247968,43.49232658,20.8,39.4,39.8,8.12940788269043,1.6418205499649,20.7457084655762,259.580841064453,9.01178741455078,211.466751098633,0.4,17.6833333333334,18.15,13.495,4.02036482589992,3.66824208579532,6.12228125220431,22.45,22.5833333333334,17.6391666666667,4.43057558337515,4.0883574533872,6.64375356892426,12.95,13.15,8.87000000000002,3.26036807738022,3.27108544675923,5.51054908883899,55.8866666666667,71.8583333333333,59.3896666666667,42.1032235503807,38.3016612781569,32.7418252016441,102.35,118.688333333333,85.45875,37.2713120241292,32.4760037053001,45.920276083308
8,"biobio","2010","FR02a","AITCTM",133.333333333333,NA,4,"Nial",0.83652435,43.49175129,21.4,41.8,36.8,7.86349534988403,1.77202522754669,19.8111515045166,242.602294921875,9.37246036529541,195.816299438477,0.4,17.5166666666667,17.95,13.3216666666667,3.96778695664639,3.66333181680284,6.11513047516497,22.25,22.3666666666667,17.4666666666667,4.43057558337515,4.11116366332778,6.63327914058068,12.7833333333334,12.9833333333334,8.71500000000002,3.20832251080425,3.27515902921775,5.5027823367255,56.9233333333333,73.0016666666667,60.25275,43.0463056874029,39.0033908354987,33.2715120014307,110.456666666667,125.541666666667,91.6179166666667,37.2611061743117,32.1496913930238,46.3743821612033
9,"biobio","2010","FR02b","AITCTM",0,0,0,"Nial",0.835671553,43.4972083,20.8,39.4,39.8,8.12940788269043,1.6418205499649,20.7457084655762,259.580841064453,9.01178741455078,211.466751098633,0.4,17.5166666666667,17.95,13.3216666666667,3.96778695664639,3.66333181680284,6.11513047516497,22.25,22.3666666666667,17.4666666666667,4.43057558337515,4.11116366332778,6.63327914058068,12.7833333333334,12.9833333333334,8.71500000000002,3.20832251080425,3.27515902921775,5.5027823367255,56.9233333333333,73.0016666666667,60.25275,43.0463056874029,39.0033908354987,33.2715120014307,110.456666666667,125.541666666667,91.6179166666667,37.2611061743117,32.1496913930238,46.3743821612033
10,"biobio","2010","FR02j","AITCTM",88.8888888888888,NA,5,"Nag",0.83242238,43.49750624,20.8,39.4,39.8,7.8575177192688,1.65311789512634,22.292350769043,259.231170654297,9.45182418823242,185.913665771484,0.5,17.6833333333334,18.15,13.495,4.02036482589992,3.66824208579532,6.12228125220431,22.45,22.5833333333334,17.6391666666667,4.43057558337515,4.0883574533872,6.64375356892426,12.95,13.15,8.87000000000002,3.26036807738022,3.27108544675923,5.51054908883899,55.8866666666667,71.8583333333333,59.3896666666667,42.1032235503807,38.3016612781569,32.7418252016441,102.35,118.688333333333,85.45875,37.2713120241292,32.4760037053001,45.920276083308
