"";"RMSE_GLM";"RMSE_GAM";"RMSE_RF";"RMSE_GBM";"RMSE_ANN";"RMS_BestMod"
"1";3,65;3,63165528526663;3,23;3,22;0;0
"2";3,32;3,25178012850802;3,53;3,64;0;0
"3";3,49;3,60791855038642;3,33;3,4;0;0
"4";3,5;3,42529295827648;3,32;3,42;0;0
"5";4,06;3,99351728840011;3,36;3,58;0;0
"6";3,49;3,44249335097052;3,22;3,49;0;0
"7";3,35;3,29719788828106;3,14;3,21;0;0
"8";3,68;3,69127446334753;3,3;3,32;0;0
"9";3,7;3,63314098253163;3,52;3,42;0;0
"10";3,55;3,48790071362303;3,35;3,1;0;0
"11";3,61;3,51410849976063;3,37;3,48;0;0
"12";3,6;3,5201030848755;3,58;3,27;0;0
"13";3,62;3,55583871503414;3,41;3,23;0;0
"14";3,71;3,65529633881099;3,39;3,57;0;0
"15";3,3;3,29292467729089;3,22;3,55;0;0
"16";3,69;3,66973534024103;3,38;3,49;0;0
"17";3,47;3,44700387627552;2,9;3,19;0;0
"18";3,4;3,39872817323526;3,56;3,41;0;0
"19";3,69;3,63939435389232;3,32;3,45;0;0
"20";3,58;3,51120007358305;3,53;3,73;0;0
"21";3,6;3,55825125687574;3,2;3,25;0;0
"22";3,53;3,44317964565452;3,43;3,36;0;0
"23";3,39;3,35759149468092;3,46;3,5;0;0
"24";3,56;3,54246061261457;3,34;3,32;0;0
"25";3,5;3,5232403550923;3,29;3,16;0;0
"26";3,9;3,82484523932625;3,22;3,38;0;0
"27";3,69;3,71606930781876;3,21;3,26;0;0
"28";3,94;3,81621792734405;3,4;3,42;0;0
"29";3,57;3,55421914537015;3,46;3,17;0;0
"30";3,45;3,39067627332515;3,33;3,21;0;0
