"Observed";"Predicted"
7;6,56257093402982
4;4,41823685103897
9;6,3082760786784
3,00000000000001;4,91025778282373
10;7,43873158370657
9;5,90864162667988
4;2,6690639643522
2,00000000000001;3,35197438882653
2,00000000000001;1,05426700541568
4;3,05638337541625
6,00000000000001;2,53997597314687
1;2,56113318349951
3,00000000000001;3,84568741957347
5;6,02852930993249
4;5,41724741283349
6,00000000000001;5,1790481440408
1;0,695091815695736
3,00000000000001;3,89492884362339
3,00000000000001;3,61850247742579
4;3,87886102507595
5;4,56017911878494
9;4,56017911878494
7;3,11956378432127
4;4,95198538950532
4;3,59368575886153
4;3,80237789493455
0;2,32374855481422
1;0,880718330225744
0;2,68831124200739
4;2,79966986231094
7;3,77684492320633
3,00000000000001;4,4882969998648
3,00000000000001;4,20596725392813
3,00000000000001;2,07746514219506
3,00000000000001;3,63604000465276
6,00000000000001;3,89124513411842
1;3,61725495455453
4;3,00310940736377
6,00000000000001;5,57159716623728
4;4,92243344204371
1;1,28395376665625
0;0,63336666179222
6,00000000000001;3,66399910037663
7;5,12119208062665
2,00000000000001;3,19979969034947
1;1,3629781559156
1;1,3629781559156
2,00000000000001;1,3629781559156
1;1,3629781559156
1;1,3629781559156
2,00000000000001;1,3629781559156
6,00000000000001;6,69960512728113
8;5,01051681594223
9;8,646775571708
9;6,6486299451643
11;5,10572998795438
6,00000000000001;5,23565444115763
7;6,78742879153027
2,00000000000001;2,25434128045697
3,00000000000001;6,27813406304912
1;5,08648932152686
7;4,6593315483881
5;4,76644211816933
8;6,55939508068059
6,00000000000001;6,26678807571936
7;6,99990619509415
5;4,74442534118229
0;1,84027783148498
2,00000000000001;1,15296825039158
3,00000000000001;1,15296825039158
3,00000000000001;1,15296825039158
0;1,15296825039158
8;7,78277634994734
6,00000000000001;6,0337529418355
7;6,37161292786891
7;8,18483144735045
7;6,30511637041935
7;8,18483144735045
5;6,0228326713006
5;5,2029437491449
6,00000000000001;5,69147968690498
6,00000000000001;6,04358469597309
8;5,23022656450062
4;6,21032364610757
6,00000000000001;6,21032364610757
6,00000000000001;4,98538418786655
3,00000000000001;5,53919812864996
3,00000000000001;5,53919812864996
8;5,54499306649678
5;6,81294055122503
5;6,58514484773946
6,00000000000001;6,30579104987422
6,00000000000001;7,47241335038322
10;7,47241335038322
5;4,77124724160121
4;4,77124724160121
7;6,5803707950666
4;4,78874776074916
6,00000000000001;6,1626204863555
7;8,20341373244237
4;5,836702632394
5;5,39218001070887
6,00000000000001;5,24500709034227
5;5,58182060824545
8;5,58182060824545
3,00000000000001;5,58182060824545
5;5,58182060824545
4;5,704318614296
7;5,704318614296
8;6,62386635442066
5;6,86288839021944
4;6,86288839021944
5;5,28999112383919
6,00000000000001;5,54361939357574
9;7,36675107201206
3,00000000000001;5,85301147527032
2,00000000000001;5,3382423029353
6,00000000000001;5,3382423029353
7;7,86391711845539
5;7,64431034184457
5;6,81212585075694
3,00000000000001;2,72430541419154
5;3,05760461819502
9;6,38222526646247
7;6,12086602520318
7;6,57665485385267
9;6,99368744590551
10;6,43086552080451
4;3,38402040670446
4;3,35605211725859
1;3,35605211725859
1;5,94740625242278
8;5,04656623720589
2,00000000000001;1,66347854297695
2,00000000000001;1,66347854297695
12;4,84166431295675
7;4,94071052067445
4;4,94071052067445
7;4,78792336411306
3,00000000000001;4,88605000487367
6,00000000000001;7,60846018393916
4;6,11974305331365
5;7,60846018393916
8;5,92574702762901
2,00000000000001;3,51803061496986
3,00000000000001;3,50033365437542
7;7,04193819342343
8;7,35016898858194
7;7,24919755723042
7;7,26749327243029
8;6,97360940058245
8;6,94280959704777
7;7,02325128944586
10;8,79565730039251
8;9,08364897253284
9;8,31838745484334
8;8,31838745484334
6,00000000000001;6,25734021772101
9;8,50515004208383
10;8,21206159927625
9;7,79610543523632
4;5,7350943254455
7;6,92625120369519
10;8,90149726742851
10;8,90149726742851
11;9,03200738347021
10;8,52407322021989
3,00000000000001;3,38632994778663
2,00000000000001;3,38632994778663
4;3,38632994778663
4;3,38632994778663
4;3,38632994778663
4;4,00055475939373
4;4,00055475939373
5;4,00055475939373
5;4,00055475939373
4;4,00055475939373
6,00000000000001;4,00055475939373
4;4,00055475939373
3,00000000000001;4,00055475939373
3,00000000000001;4,00055475939373
4;4,00055475939373
3,00000000000001;4,00055475939373
4;4,00055475939373
3,00000000000001;4,00055475939373
3,00000000000001;4,00055475939373
4;4,00055475939373
3,00000000000001;4,00055475939373
4;4,00055475939373
4;4,00055475939373
4;4,00055475939373
3,00000000000001;4,00055475939373
3,00000000000001;4,00055475939373
5;4,00055475939373
8;11,9254937209961
11;8,21171241217346
7;4,57673413384691
9;4,51064188808879
1;4,43049430997384
9;6,47611467002965
8;8,23663458078427
7;9,25555764735365
10;8,76450416694527
10;8,22284501434357
4;5,94934281354457
12;8,26436238910062
8;7,25482461659322
4;8,67912084314447
7;6,92815617064706
8;8,67110479696737
8;7,03931425122605
4;8,19262263529604
7;6,76410338753962
4;8,67110479696737
8;6,96859201816072
6,00000000000001;7,1622854347306
6,00000000000001;5,88698829981249
9;6,26858828019432
8;7,24497599641954
10;8,08630841257321
6,00000000000001;9,20481762994137
8;6,69072214418657
7;5,6445494614747
6,00000000000001;5,05517659501296
6,00000000000001;5,6332566963895
6,00000000000001;5,88510811805883
5;5,87310714146438
8;4,7219413241958
1;5,15657296949472
5;5,93386155449357
2,00000000000001;6,28576853369618
6,00000000000001;6,37111507628833
7;6,37111507628833
6,00000000000001;5,80175497585326
4;5,51170096971045
5;6,28562439082998
6,00000000000001;5,32609814746753
9;5,99308253285189
5;6,34331023094136
7;6,36863344094252
5;4,41899768098639
4;4,44216077504574
3,00000000000001;6,58361519578545
5;5,93962616357784
6,00000000000001;6,25878370646892
4;5,64797512471637
10;6,48003406013502
7;6,25878370646892
8;6,61860235741792
6,00000000000001;5,94264306372911
6,00000000000001;5,09291855692785
5;3,1816703062028
7;2,89023126212084
5;5,9472101438819
8;5,63701588914263
5;5,2377332249609
6,00000000000001;5,2377332249609
5;5,25247522270212
8;3,00454857042684
5;4,44637279235353
5;3,66139064426581
8;7,5686967103366
3,00000000000001;4,92243344204371
9;6,77894679507312
6,00000000000001;4,60216756932381
4;4,80489087609923
7;6,09262704612056
5;6,04914325308946
8;2,88847534416049
2,00000000000001;5,27778021558388
4;7,16948355656992
5;6,7755206965319
6,00000000000001;7,51223999255223
6,00000000000001;9,94209798434695
6,00000000000001;4,73321520667491
10;5,86146138666872
8;9,23771897731771
3,00000000000001;9,23505963280308
8;9,99453576181211
11;10,3738953318913
5;5,1792207898492
9;7,903974216091
11;6,18509723929857
14;7,53578322757129
10;8,60993344846873
9;6,23341220816044
5;7,2795564443547
5;4,61070760720508
7;4,61070760720508
1;3,86058132235477
4;3,86058132235477
7;5,81697626601234
8;5,81697626601234
7;5,81697626601234
3,00000000000001;2,96707987902024
3,00000000000001;3,18575685948335
1;1,83176584222889
0;1,83176584222889
6,00000000000001;4,18896180612254
2,00000000000001;1,44152799802611
4;5,03279240551427
4;3,93339170032827
4;3,73361527414815
3,00000000000001;3,84056883119369
5;3,81808862084832
5;3,81808862084832
3,00000000000001;3,8707076224301
5;4,98688437766671
3,00000000000001;4,5736376538481
4;3,14626384561901
5;0,46963121532032
4;3,44069922353063
2,00000000000001;4,34903136822343
3,00000000000001;3,3537050223709
3,00000000000001;4,99126319236818
3,00000000000001;4,29761135391759
5;4,41283930139743
4;3,56666501571613
4;4,01637991145884
7;7,41810055023006
3,00000000000001;4,87328257884139
4;4,81174140507178
4;2,70058245440408
3,00000000000001;3,36462165914602
6,00000000000001;3,83064206945872
6,00000000000001;2,96802557428312
4;4,7795891962068
3,00000000000001;2,6680700721881
8;3,87717713997065
3,00000000000001;3,89803122806411
6,00000000000001;3,43805187260113
4;3,12686062114879
6,00000000000001;5,4648706328445
3,00000000000001;3,57932735071588
5;4,78073146538139
5;2,70247496435823
3,00000000000001;3,80527316245713
4;3,86436588916256
7;3,52471732375338
0;1,5822853889128
0;3,04663026722159
1;3,88784585770192
2,00000000000001;2,21016982979361
6,00000000000001;4,18858507849722
4;3,76910957668565
1;0,275878362137362
2,00000000000001;2,48322064711411
4;3,41124965298516
3,00000000000001;3,30105157777258
4;1,99881570064621
3,00000000000001;1,99881570064621
3,00000000000001;4,30610360880534
1;0,433814447388623
2,00000000000001;0,398477724168452
2,00000000000001;4,46258939987271
4;4,46258939987271
2,00000000000001;2,39311806547809
2,00000000000001;3,62523409560169
