"";"RMSE_GLM";"RMSE_GAM";"RMSE_RF";"RMSE_GBM";"RMSE_ANN";"RMS_BestMod"
"1";2,35;2,24600883388275;1,89;1,79;0;0
"2";2,21;2,08412629635547;1,9;1,85;0;0
"3";2,17;2,08394045315782;1,84;1,83;0;0
"4";2,29;2,17601446550651;1,88;1,9;0;0
"5";2,31;2,16230414693298;1,98;1,9;0;0
"6";2,12;2,04007657588143;1,91;1,81;0;0
"7";2,12;1,99237331416852;1,85;1,94;0;0
"8";2,29;2,17972580003288;1,92;1,95;0;0
"9";2,24;2,07940507843746;2,02;1,72;0;0
"10";2,31;2,23001444328325;1,95;1,88;0;0
"11";2,16;2,10044904160257;1,94;1,81;0;0
"12";2,2;2,11154165488855;1,94;1,85;0;0
"13";2,27;2,16942158630604;1,88;1,87;0;0
"14";2,27;2,18038516384202;1,91;1,96;0;0
"15";2,18;2,04164448318988;1,91;1,83;0;0
"16";2,29;2,15255238546683;1,89;1,88;0;0
"17";2,23;2,10738491030254;1,94;1,94;0;0
"18";2,22;2,12524096055707;1,95;1,86;0;0
"19";2,25;2,15306754258085;1,94;1,79;0;0
"20";2,28;2,18839110028671;1,88;1,87;0;0
"21";2,14;2,04988730060285;1,97;1,86;0;0
"22";2,2;2,06105871156777;1,93;1,79;0;0
"23";2,15;2,03014803467244;1,95;1,85;0;0
"24";2,16;2,07641444367266;1,92;1,83;0;0
"25";2,2;2,11481660539692;1,91;1,78;0;0
"26";2,25;2,1467764213619;1,97;1,99;0;0
"27";2,14;2,07262825726397;1,96;1,9;0;0
"28";2,22;2,10104553065315;2,02;1,75;0;0
"29";2,18;2,10327228221383;1,89;1,85;0;0
"30";2,18;2,07436559907005;1,97;1,87;0;0
