"variables";"r_squared";"aic"
"CaCO3.inter.CEC";0,0640594312902401;19122,1713691028
"pH.inter.bio3";0,0566889248674106;19135,1455550475
"gps_x.inter.pH";0,0560104117924703;19136,3348310289
"CN.inter.pH";0,055541966210327;19137,1554087349
"pH.inter.bio4";0,0523054992801811;19142,8136433913
"pH.inter.bio7";0,049452962491383;19147,7846645233
"CaCO3.inter.pH";0,0488001729431934;19148,92016155
"gps_x.inter.N";0,0487503826379725;19149,0067374799
"CaCO3.inter.bio3";0,0486671087132844;19149,1515249684
"gps_x.inter.bio4";0,0472404433434853;19151,6300863069
"gps_x.inter.CN";0,0467230367660053;19152,5280654288
"CaCO3.inter.clay";0,0466822938301166;19152,5987556673
"P.inter.pH";0,046532362046772;19152,8588658794
"gps_x.inter.bio7";0,0459876738867335;19153,8034778891
"hurs_mean.inter.pH";0,0456919061158726;19154,3161799402
"gps_y.inter.hurs_mean";0,0455879358712293;19154,496370613
"pH.inter.bio12";0,045540828620122;19154,578005657
"pH.inter.N";0,0451081064740875;19155,3277079563
"CEC.inter.pH";0,0451013339860273;19155,3394387665
"gps_x.inter.hurs_mean";0,0442196811890158;19156,8658634996
"hurs_mean.inter.bio3";0,0441047952440476;19157,0646643429
"CaCO3.inter.hurs_mean";0,0439485562325133;19157,3349849881
"gps_x.inter.P";0,043799017394369;19157,5936717968
"pH.inter.gdd10";0,0429319742103489;19159,0927704789
"CaCO3.inter.gps_x";0,0428108571786378;19159,3020710619
"N.inter.bio3";0,0426976559585478;19159,4976685034
"pH.inter.clay";0,0426054985478026;19159,6568878157
"bio3.inter.bio7";0,042604984085988;19159,6577766025
"gps_x.inter.bio3";0,0425191784375534;19159,8060081899
"N.inter.bio4";0,0423984798738021;19160,0144957525
"CaCO3.inter.N";0,0419499366989783;19160,7890524945
"pH.inter.K";0,0417262267952043;19161,1752254111
"P.inter.hurs_mean";0,041647083201832;19161,3118232204
"sand.inter.hurs_mean";0,0415831923146759;19161,4220874071
"gps_y.inter.pH";0,0415540049536045;19161,4724570998
"sand.inter.pH";0,0413457563330364;19161,8317948255
"pH.inter.gdd0";0,0411420185923516;19162,1832733923
"pH.inter.silt";0,0409903819786716;19162,4448211233
"bio4.inter.bio3";0,0406546729088912;19163,0237158774
"gps_x.inter.gdd10";0,0405809159156596;19163,1508748618
"CaCO3.inter.P";0,0401931635643081;19163,8192093095
"CaCO3.inter.gps_y";0,0400040488829967;19164,1450716178
"N.inter.bio7";0,0399478879528076;19164,2418297983
"CaCO3.inter.silt";0,0393986766700816;19165,1877531697
"CaCO3.inter.bio4";0,038940606241431;19165,9762883118
"CaCO3.inter.gdd0";0,0388815388165568;19166,0779412577
"CaCO3.inter.CN";0,0388717510322012;19166,0947850845
"CaCO3.inter.gdd10";0,0387797935400493;19166,2530266267
"gps_x.inter.gdd0";0,0383661664064595;19166,9646139602
"CaCO3.inter.bio7";0,0381391366838217;19167,355056589
"gps_x.inter.bio12";0,0379058358675567;19167,7561881607
"CaCO3.inter.bio12";0,0377547090804343;19168,0159798578
"CEC.inter.clay";0,0375464523257272;19168,373912919
"hurs_mean.inter.silt";0,0371725625643576;19169,0163268606
"hurs_mean.inter.gdd0";0,0370899934412997;19168,1602869605
"CaCO3.inter.K";0,0370536115382575;19169,2206551101
"gps_x.inter.gps_y";0,0365751540907503;19170,0422710274
"CaCO3.inter.sand";0,0365217190375248;19170,1340053516
"CN.inter.bio3";0,036377745521712;19170,3811457485
"gps_x.inter.clay";0,0362419832486239;19170,6141571614
"gps_x.inter.K";0,0361627476631032;19170,7501355596
"CEC.inter.bio3";0,0356231026926546;19171,6759381263
"gps_x.inter.silt";0,035244883251597;19172,3244940146
"CEC.inter.hurs_mean";0,035240061683941;19172,3327602086
"gps_x.inter.CEC";0,0346398459332703;19173,3614598087
"bio4.inter.bio7";0,0345844325731611;19173,4563995748
"gps_x.inter.sand";0,033810721665836;19174,7814303252
"gps_y.inter.gdd10";0,0337647407948615;19174,8601421808
"hurs_mean.inter.N";0,0333636743548679;19175,5465446366
"P.inter.bio4";0,0331345514166781;19175,9385477334
