"variables";"r_squared";"aic"
"bio4.inter.pH";0,238839144378254;15063,6746553374
"gps_x.inter.PET";0,235290853952326;15078,8736355928
"gps_x.inter.hurs_mean";0,232293293880961;15091,6587275685
"gps_x.inter.gdd10";0,231758426316101;15093,9347772189
"gps_x.inter.pH";0,231523141537275;15094,9354949133
"pH.inter.elevation";0,231206941600785;15096,2798800414
"CEC.inter.hurs_mean";0,228465545375934;15107,9123312522
"gps_x.inter.bio10";0,227231859866339;15113,133697993
"bio7.inter.pH";0,227192052485306;15113,3020371932
"gps_x.inter.gps_y";0,224692505213871;15123,8549034174
"bio4.inter.P";0,222144269780937;15134,5783621408
"CEC.inter.bio10";0,219158349153461;15147,0990741988
"bio4.inter.CaCO3";0,218385759829383;15150,3309377431
"pH.inter.bio18";0,2175935983742;15153,641359342
"gps_x.inter.bio5";0,217504501258293;15154,0134841059
"gps_x.inter.CaCO3";0,217091841649793;15155,73645393
"bio18.inter.hurs_mean";0,216467317757381;15158,3422902127
"bio4.inter.PET";0,216406960677682;15158,5940210519
"bio18.inter.bio10";0,212700495428157;15174,0155098865
"bio4.inter.CEC";0,212323041962013;15175,5819052966
"pH.inter.hurs_mean";0,211968555800466;15177,0523052688
"bio4.inter.hurs_mean";0,211331502550341;15179,6931249704
"bio4.inter.gps_y";0,210471158684354;15183,2561825975
"CEC.inter.bio5";0,209117088341655;15188,8561193918
"bio4.inter.N";0,208864104751948;15189,9013033992
"bio7.inter.P";0,20848991150923;15191,4466439903
"bio4.inter.gdd10";0,208485207674624;15191,4660652031
"bio4.inter.bio10";0,207210242873424;15196,725894661
"gps_x.inter.P";0,206830725750631;15198,289947649
"bio7.inter.CEC";0,206617645494385;15199,1677587066
"bio4.inter.bio5";0,206470994142574;15199,7717705387
"pH.inter.bio10";0,205871892991715;15202,2381250659
"gps_x.inter.CEC";0,205735563057211;15202,7991025506
"CEC.inter.gdd10";0,205339076007205;15204,4300409675
"gps_x.inter.N";0,204876013903246;15206,3338041608
"bio18.inter.bio5";0,204707118948017;15207,0278972972
"bio7.inter.CaCO3";0,2046553372094;15207,2406707508
"bio4.inter.bio7";0,204574119004175;15207,5743720454
"bio4.inter.bio15";0,204443622863812;15208,1104702771
"gps_x.inter.bio4";0,203550821694091;15211,7758777483
"bio4.inter.bio18";0,203449509161739;15212,1915581311
"gps_x.inter.bio7";0,20324831477838;15213,0168921553
"bio4.inter.bio16";0,202462478313777;15216,2385332015
"bio4.inter.bio13";0,202261000392778;15217,064007457
"gps_x.inter.bio15";0,202130492798201;15217,5985982645
"pH.inter.bio5";0,200461158393052;15224,4288953842
"CEC.inter.N";0,200195532182007;15225,5144240015
"bio4.inter.elevation";0,199823637479928;15227,0336320886
"pH.inter.CEC";0,199192692030981;15229,6094607768
"elevation.inter.hurs_mean";0,199012898408956;15230,3430949507
"bio18.inter.gdd10";0,198123077853324;15233,971517364
"CaCO3.inter.hurs_mean";0,194923382121155;15246,985732413
"pH.inter.bio15";0,194866257021721;15247,2176087313
"gps_x.inter.bio16";0,193931389113989;15251,0099922987
"gps_x.inter.bio13";0,193919403391459;15251,0585849985
"bio7.inter.N";0,192664999972926;15256,1402158025
"pH.inter.gps_y";0,192569816805445;15256,5254836977
"bio7.inter.hurs_mean";0,192473690659989;15256,9145223438
"bio7.inter.bio18";0,192201851120242;15258,0144519831
"gps_x.inter.elevation";0,191068925295512;15262,5945661385
"bio7.inter.PET";0,190761251157868;15263,8373023202
"elevation.inter.bio10";0,190328764802593;15265,5833727709
"bio10.inter.gdd10";0,190009166992824;15266,8730808851
"gps_x.inter.bio18";0,189622582112033;15268,432429402
"elevation.inter.N";0,18825990568214;15273,9230644354
"CaCO3.inter.pH";0,188125864119484;15274,4626603808
"CaCO3.inter.CEC";0,186908984950588;15279,3572414924
"bio7.inter.bio5";0,186832049475022;15279,6664482542
"bio7.inter.bio10";0,186646373502673;15280,4125669518
"bio7.inter.bio16";0,18653562189403;15280,8575291499
"bio7.inter.bio15";0,186282958283472;15281,8724186709
"bio7.inter.gdd10";0,186260845900001;15281,9612238497
"bio15.inter.hurs_mean";0,186198800382057;15282,2103909469
"bio7.inter.bio13";0,186087937363059;15282,6555557742
"bio7.inter.elevation";0,185785446817328;15283,8698828483
"pH.inter.gdd10";0,185644790031;15284,4343859961
"bio15.inter.bio10";0,185310934886058;15285,7738690852
"bio7.inter.gps_y";0,183872866733482;15291,5373732071
"elevation.inter.bio5";0,182896859776933;15295,4432414309
"CaCO3.inter.elevation";0,182171963258452;15298,3411762321
"pH.inter.bio13";0,182127273325729;15298,5197500928
"CaCO3.inter.bio10";0,181043166020204;15302,8486836332
"pH.inter.bio16";0,180218506938192;15306,1377824027
"P.inter.bio10";0,179662595224433;15308,3531334392
"P.inter.bio5";0,178494239458862;15313,0042321154
"CaCO3.inter.bio5";0,176010760274906;15322,8687605816
"elevation.inter.gdd10";0,175297425964787;15325,6966713549
"pH.inter.PET";0,175293705806701;15325,7114129715
"pH.inter.P";0,174982810200954;15326,9431428481
"CaCO3.inter.bio18";0,174739170813043;15327,908087562
"bio15.inter.gdd10";0,173241805360023;15333,8322222964
