"Datas","Algorithms","Response_variables","R2_adjusted_train","R2_adjusted_test","RMSE","MAE"
"ProDij","GLM","AB_tot",0.02,0.05,6.04,5.03
"ProDij","GAM","AB_tot",0.1,0.14,5.74,4.83
"ProDij","RF","AB_tot",0.81,0.22,5.5,4.55
"ProDij","GBM","AB_tot",0.4,0.18,5.69,4.71
"ProDij","ANN","AB_tot",-0.28,0.12,6.75,5.39
"ProDij","GLM","BM_tot",0.04,0.08,2.98,2.41
"ProDij","GAM","BM_tot",0.11,0.13,2.89,2.37
"ProDij","RF","BM_tot",0.81,0.23,2.73,2.22
"ProDij","GBM","BM_tot",0.28,0.15,2.89,2.36
"ProDij","ANN","BM_tot",-0.12,0.06,3.22,2.64
"ProDij","GLM","Richesse",0.09,0.08,1.08,0.83
"ProDij","GAM","Richesse",0.17,0.12,1.05,0.8
"ProDij","RF","Richesse",0.82,0.17,1.02,0.78
"ProDij","GBM","Richesse",0.44,0.13,1.04,0.8
"ProDij","ANN","Richesse",-0.38,0.04,1.29,1
