"";"Var_AB_tot";"Var_BM_tot";"Var_Richesse_tot";"Communes"
"1";"clcm_lvl3gua";"clcm_lvl3gua";"clcm_lvl3gua";"clcm_lvl3gua"
"2";"clcm_lvl3ng";"clcm_lvl3p";"clcm_lvl3ng";"clcm_lvl3p"
"3";"clcm_lvl3nial";"clcm_lvl3v";"clcm_lvl3p";"P"
"4";"clcm_lvl3p";"clay";"elevation";"N"
"5";"elevation";"P";"pH";"K"
"6";"silt";"N";"P";"CN"
"7";"C";"K";"N";"CaCO3"
"8";"P";"CN";"K";"bio3"
"9";"N";"CEC";"CN";"bio12"
"10";"K";"CaCO3";"CEC";"hurs_mean"
"11";"CN";"bio3";"CaCO3";" "
"12";"CaCO3";"bio8";"bio3";" "
"13";"bio1";"bio12";"bio8";" "
"14";"bio3";"hurs_mean";"bio12";" "
"15";"bio12";" ";"hurs_mean";" "
"16";"bio15";" ";" ";" "
"17";"hurs_mean";" ";" ";" "
