"Programme";"ID"
"AF";"AF_BE_2014_ATE_NA"
"AF";"AF_BE_2014_PTE_NA"
"AF";"AF_CH_2013_ATE_NA"
"AF";"AF_CH_2013_FTE_NA"
"AF";"AF_CH_2013_PTE_NA"
"AF";"AF_ED_2010_ATE_1_NA"
"AF";"AF_ED_2010_ATE_2_NA"
"AF";"AF_ED_2010_FTE_IR1_NA"
"AF";"AF_ED_2010_FTE_R1_NA"
"AF";"AF_LM_2014_ATE_NA"
"AF";"AF_LM_2014_FTE_NA"
"AF";"AF_LM_2014_FTE1_NA"
"AF";"AF_LM_2014_PTE_NA"
"AF";"AF_MA_2013_ATE_NA"
"AF";"AF_MA_2013_PTE_NA"
"AF";"AF_PA_2013_ATE_NA"
"AF";"AF_PA_2013_PTE_NA"
"AF";"AF_SA_2013_ATE_NA"
"AF";"AF_SA_2013_FTE_NA"
"AF";"AF_VER_2014_ATE_NA"
"AF";"AF_VER_2014_PTE_NA"
"AF";"AF_VZ_2011_ATE_NA"
"AF";"AF_VZ_2013_FTE_NA"
