"ID_2";"AB_tot";"BM_tot";"Richesse_tot"
"MONS_GP_2014_P25";494;178,890666666667;5,33333333333333
"MONS_GP_2014_P26";251,333333333333;26,5818666666667;3,66666666666667
"MONS_GP_2014_P27";256,333333333333;63,9499;6
"MONS_GP_2014_P28";158,666666666667;52,5609666666667;3,66666666666667
"MONS_PP_2014_T1";225,75;33,40895;3
"MONS_PP_2014_T2";410,75;120,8034;4,5
"MONS_PP_2014_T3";357,5;87,74072;4
"MONS_PP_2014_T4";453,25;77,82955;3,75
"MONS_PP_2014_T5";392,25;61,1212;3,75
"MONS_PP_2014_T6";138,5;45,86795;4,5
