"ID_2";"AB_tot";"BM_tot";"Richesse_tot"
"Vadebio_La Bouzule_2011_CA";253,75;80,8883;6,75
"Vadebio_La Bouzule_2011_CMF";236;83,6208;6,5
"Vadebio_La Bouzule_2011_COF";300,5;122,377475;7,25
"Vadebio_La Bouzule_2011_CWP";252;66,926675;6,25
"Vadebio_La Bouzule_2011_HWA";250,75;115,13305;7
"Vadebio_La Bouzule_2011_LDCSS";251,25;87,033075;7,75
"Vadebio_La Bouzule_2011_LDCSSM";296;104,437725;7,25
"Vadebio_La Bouzule_2011_LDCSSO";282;87,4915;7,75
"Vadebio_La Bouzule_2011_LDSS";263;89,17575;7,75
"Vadebio_La Bouzule_2011_LSS";255,5;104,323275;7,5
"Vadebio_La Bouzule_2011_MPS";268,25;74,145125;7
