"ID_2";"AB_tot";"BM_tot";"Richesse_tot"
"VitiEcobioSol-CIBC_AL_Insect_1990_AL_Insect_BL";12,3333333333333;27,0466666666667;5
"VitiEcobioSol-CIBC_AL_Insect_1990_AL_Insect_J";8,33333333333333;22,9370666666667;3
"VitiEcobioSol-CIBC_AL_Insect_1990_AL_Insect_JV";19,6666666666667;48,9857333333333;5
"VitiEcobioSol-CIBC_AL_Insect_1990_AL_Insect_R";20;41,8160333333333;4
"VitiEcobioSol-CIBC_AL_Insect_1994_AL_Insect_BL";11,3333333333333;34,8809333333333;4
"VitiEcobioSol-CIBC_AL_Insect_1994_AL_Insect_J";17,6666666666667;26,1282;5
"VitiEcobioSol-CIBC_AL_Insect_1994_AL_Insect_JV";13,6666666666667;32,0164;5
"VitiEcobioSol-CIBC_AL_Insect_1994_AL_Insect_R";8,33333333333333;18,2818;3
"VitiEcobioSol-CIBC_AL_Insect_1998_AL_Insect_BL";39,6666666666667;56,6183333333333;5
"VitiEcobioSol-CIBC_AL_Insect_1998_AL_Insect_J";43,6666666666667;80,9306666666667;4
"VitiEcobioSol-CIBC_AL_Insect_1998_AL_Insect_JV";37,3333333333333;51,369;6
"VitiEcobioSol-CIBC_AL_Insect_1998_AL_Insect_R";44,3333333333333;62,878;5
"VitiEcobioSol-CIBC_AL_Insect_2000_AL_Insect_BL";64,6666666666667;80,8796666666667;7
"VitiEcobioSol-CIBC_AL_Insect_2000_AL_Insect_J";161,666666666667;254,530333333333;4
"VitiEcobioSol-CIBC_AL_Insect_2000_AL_Insect_JV";143,333333333333;205,037333333333;5
"VitiEcobioSol-CIBC_AL_Insect_2000_AL_Insect_R";81,6666666666667;149,242666666667;5
"VitiEcobioSol-CIBC_AVE_Enherb_1999_AVE_Enherb_E";51,6666666666667;69,7643333333333;3,5
"VitiEcobioSol-CIBC_AVE_Enherb_1999_AVE_Enherb_M";67,1666666666667;88,7038333333333;3
"VitiEcobioSol-CIBC_AVE_Enherb_1999_AVE_Enherb_T";51,1666666666667;77,7086666666667;2
"VitiEcobioSol-CIBC_AVI_Fong_1992_AVI_Fong_A";28,5625;41,87595;2
"VitiEcobioSol-CIBC_AVI_Fong_1992_AVI_Fong_B";34,4375;48,70911875;2
"VitiEcobioSol-CIBC_AVI_Fong_1992_AVI_Fong_C";25,6875;28,429;2
"VitiEcobioSol-CIBC_AVI_Fong_1992_AVI_Fong_D";31,8125;41,901825;2
"VitiEcobioSol-CIBC_BO_Fong_1990_BO_Fong_BL";14,6666666666667;22,1604666666667;5
"VitiEcobioSol-CIBC_BO_Fong_1990_BO_Fong_BU";19;65,3128;4
