ID,Programme,Annee,ID_Site,Protocole,AB_tot,BM_tot,Richesse_tot,CaCO3,gps_x,N,bio3,gps_y,clay,silt,clcm_lvl3,P,bio12
AgrHys_100_2018.03_NA_NA,AgrHys,2018,"100",HS_M_16,112,"16,7898666666667",4,"15,8576784133911",-2.8255949526,"2,55359959602356",0.36800000667572,48.0125934903,"18,1","63,8",nial,"54,8640518188477",931.9
AgrHys_102_2018.03_NA_NA,AgrHys,2018,"102",HS_M_16,128,"19,6592",4,"16,0799083709717",-2.817805674,"2,52022814750671",0.367000007629395,48.0129795242,"16,9","66,8",nial,"57,599250793457",933.5
AgrHys_104_2018.03_NA_NA,AgrHys,2018,"104",HS_M_16,53.3333333333333,"48,0608",4,"29,7879695892334",-2.8472650922,"2,54159784317017",0.369000005722046,48.0137923119,"18,6","63,6",nial,"57,3389320373535",925.6
AgrHys_105_2018.03_NA_NA,AgrHys,2018,"105",HS_M_16,26.6666666666667,"8,85226666666667",3,"19,1863174438477",-2.8433704581,"2,75298833847046",0.369000005722046,48.0139861103,"19,1","63,2",nial,"59,8461723327637",925.6
AgrHys_106_2018.03_NA_NA,AgrHys,2018,"106",HS_M_16,64,"51,3754666666667",5,"19,1863174438477",-2.8394757955,"2,75298833847046",0.36800000667572,48.0141797798,"19,1","63,2",nial,"59,8461723327637",929
AgrHys_107_2018.03_NA_NA,AgrHys,2018,"107",HS_M_16,85.3333333333333,"25,7370666666667",2,"27,8186149597168",-2.8355811044,"2,67206048965454",0.36800000667572,48.0143733203,"18,9","63,7",p,"57,4967231750488",929
AgrHys_109_2018.03_NA_NA,AgrHys,2018,"109",HS_M_16,181.333333333333,"56,8581333333333",4,"35,119815826416",-2.8238968606,"2,45643258094788",0.367000007629395,48.0149531685,"18,1","63,8",nial,"55,404842376709",933.5
AgrHys_11_2018.03_NA_NA,AgrHys,2018,"11",HS_M_16,517.333333333333,"127,0368",6,"30,3254146575928",-2.8165024473,"2,64792323112488",0.367000007629395,47.9833728817,"17,4","61,7",p,"53,2643966674805",913.1
AgrHys_110_2018.03_NA_NA,AgrHys,2018,"110",HS_M_16,138.666666666667,"34,9664",7,"30,9152717590332",-2.8200020558,"2,3713071346283",0.367000007629395,48.0151461934,"16,9","66,8",nial,"56,9435997009277",933.5
AgrHys_111_2018.03_NA_NA,AgrHys,2018,"111",HS_M_16,112,"74,9258666666667",6,"30,9152717590332",-2.8161072227,"2,3713071346283",0.36800000667572,48.0153390893,"17,1","66,3",nial,"56,9435997009277",934.2
