ID,Programme,Annee,ID_Site,Protocole,AB_tot,BM_tot,Richesse_tot,CaCO3,gps_x,N,bio3,gps_y,clay,silt,clcm_lvl3,P,bio12
AgrInnov_P089_2014_NA_NA,AgrInnov,2014,P089,HS,550,"154,58875",6,"100,835075378418",5.10179643629596,"2,54026079177856",0.309999990463257,47.5799127418483,"38,1","51,9",nial,"22,8852081298828",881.6
AgrInnov_P090_2014_NA_NA,AgrInnov,2014,P090,HS,233.333333333333,"162,045416666667",4,"35,2706985473633",5.04717393971964,"1,70283055305481",0.315000009536743,47.1957992046692,"33,6","54,3",nial,"43,5494537353516",799.7
AgrInnov_P091_2014_NA_NA,AgrInnov,2014,P091,HS,50,"14,4320833333333",1,"86,8379364013672",5.06663833293236,"2,3305127620697",0.316000008583069,47.5679340248954,"45,6","50,8",nial,"48,9095191955566",896.4
AgrInnov_P093_2014_NA_NA,AgrInnov,2014,P093,HS,470.833333333333,"140,828333333333",4,"76,8906402587891",5.0824732523999,"2,1433584690094",0.315000009536743,47.4942069109443,"43,5","51,6",nial,"48,2749671936035",867.3
AgrInnov_P094_2014_NA_NA,AgrInnov,2014,P094,HS,495.833333333333,"231,896666666667",6,"128,704208374023",5.01865599630673,"2,60993576049805",0.315000009536743,47.5393061168736,"38,5","55,4",nial,"47,3214340209961",832.6
AgrInnov_P095_2014_NA_NA,AgrInnov,2014,P095,HS,387.5,"187,490416666667",4,"38,7830772399902",5.1333273040753,"2,02814173698425",0.313000011444092,47.4776176935603,"40,3","52,7",nial,"46,7137260437012",878.8
AgrInnov_P096_2014_NA_NA,AgrInnov,2014,P096,HS,170.833333333333,"64,03",5,"51,064510345459",5.21530701585991,"1,97647833824158",0.310999989509583,47.475568308636,"34,6","58,7",nial,"42,0445137023926",864.9
AgrInnov_P097_2014_NA_NA,AgrInnov,2014,P097,HS,8.33333333333333,"4,71125",2,"141,43049621582",5.06116805522774,"2,3184826374054",0.313000011444092,47.4440668397748,"46,2","43,5",nial,"42,5276031494141",910.7
AgrInnov_P098_2014_NA_NA,AgrInnov,2014,P098,HS,16.6666666666667,"0,45",1,"98,2530746459961",5.07904296471902,"1,91127777099609",0.314000010490417,47.4556218647943,"43","48,3",nial,"47,5177459716797",898.5
AgrInnov_P099_2014_NA_NA,AgrInnov,2014,P099,HS,425,"121,353333333333",4,"86,5314559936523",4.51471814481641,"2,96975684165955",0.319000005722046,47.576679181874,"41,1","53,2",nial,"40,523796081543",982.7
AgrInnov_P100_2014_NA_NA,AgrInnov,2014,P100,HS,112.5,"46,4225",3,"47,6313858032227",5.10780176895624,"1,90995657444",0.313000011444092,47.3612039415385,"39,6","50",nial,"48,6650199890137",830.2
