ID,Programme,Annee,ID_Site,Protocole,AB_tot,BM_tot,Richesse_tot,CaCO3,gps_x,N,bio3,gps_y,clay,silt,clcm_lvl3,P,bio12
AgrInnov_P230_2014_NA_NA,AgrInnov,2014,P230,HS,137.5,"54,25875",3,"90,0161666870117",3.30122809763336,"1,52554655075073",0.326999998092651,48.9857998381082,"29,6","45,6",v,"51,0566825866699",741.2
AgrInnov_P232_2014_NA_NA,AgrInnov,2014,P232,HS,179.166666666667,"128,659583333333",4,"210,878723144531",3.48200451851039,"1,87473583221436",0.324000000953674,49.0489239798092,"22,7","40,5",v,"39,5967102050781",758.4
AgrInnov_P233_2014_NA_NA,AgrInnov,2014,P233,HS,279.166666666667,"159,21125",5,"72,7366180419922",3.95041400730829,"1,99768161773682",0.332999992370606,49.1682236080766,"34,4","33,8",v,"31,645450592041",761.4
AgrInnov_P234_2014_NA_NA,AgrInnov,2014,P234,HS,4.16666666666667,"11,1158333333333",1,"159,771545410156",3.6391568086311,"1,62521243095398",0.323000001907349,48.9847830639008,"39,1","45,8",v,"43,7776184082031",723.7
AgrInnov_P235_2014_NA_NA,AgrInnov,2014,P235,HS,554.166666666667,"52,29",2,"153,591064453125",3.93137135381102,"1,82389354705811",0.328999996185303,48.9917305001361,"37,2","38",v,"45,7709007263184",711.6
AgrInnov_P236_2014_NA_NA,AgrInnov,2014,P236,HS,225,"49,67875",1,"81,3045654296875",4.09109308016625,"1,49784922599792",0.330999994277954,49.1602331322394,"23,5","40,4",v,"43,7997627258301",697.2
AgrInnov_P238_2014_NA_NA,AgrInnov,2014,P238,HS,100,"33,8275",2,"160,581817626953",4.02279838905161,"1,39874160289764",0.325999999046326,48.9675101006235,"32,3","42,8",v,"56,137077331543",711.3
AgrInnov_P239_2014_NA_NA,AgrInnov,2014,P239,HS,379.166666666667,"98,49625",5,"102,271057128906",4.05537530998048,"1,51373207569122",0.330999994277954,49.1652729561774,"25,1","36,2",v,"47,5771903991699",711.1
AgrInnov_P240_2014_NA_NA,AgrInnov,2014,P240,HS,675,"332,42125",9,"72,7366180419922",3.95087337736419,"1,99768161773682",0.332999992370606,49.1688878478883,"34,4","33,8",v,"31,645450592041",761.4
AgrInnov_P287_2014_NA_NA,AgrInnov,2014,P287,HS,258.333333333333,"75,19375",5,"40,6198310852051",3.46717610614674,"1,51919460296631",0.327999997138977,49.0116276657425,"19,1","75",nial,"44,2256164550781",789.7
AgrInnov_P296_2014_NA_NA,AgrInnov,2014,P296,HS,120.833333333333,"33,31",3,"100,924827575684",3.42684687958431,"1,85081017017365",0.326999998092651,49.0193015832404,"31,5","46,3",nial,"35,9114227294922",708.8
AgrInnov_P375_2014_NA_NA,AgrInnov,2014,P375,HS,50,"36,1433333333333",3,"231,079971313477",4.12545854678334,"1,80831742286682",0.330999994277954,49.4252731319655,"28","45,6",nial,"46,5670013427734",735.6
