"ID";"Programme";"Annee";"ID_Site";"Protocole";"AB_tot";"BM_tot";"Richesse_tot";"CaCO3";"gps_x";"N";"bio3";"gps_y";"clay";"silt";"clcm_lvl3";"P";"bio12"
"AF_BE_2014_ATE_NA";"AF";"2014";"BE";"F_HS";305;38,9386;9;18,8410186767578;0,977083;1,91409492492676;0,345000004768372;46,540111;24;33,1;"nial";24,5096588134766;816,2
"AF_BE_2014_PTE_NA";"AF";"2014";"BE";"F_HS";796,666666666667;182,948633333333;10;18,8410186767578;0,977083;1,91409492492676;0,345000004768372;46,540111;24;33,1;"p";24,5096588134766;816,2
"AF_CH_2013_ATE_NA";"AF";"2013";"CH";"F_HS";92;50,2099666666667;7;25,137674331665;1,299444;1,48695278167725;0,34300000667572;48,102222;21,3;67,8;"nial";44,1151161193848;671,5
"AF_CH_2013_FTE_NA";"AF";"2013";"CH";"F_HS";410,666666666667;82,3661;6;25,137674331665;1,299444;1,48695278167725;0,34300000667572;48,102222;21,3;67,8;"f";44,1151161193848;671,5
"AF_CH_2013_PTE_NA";"AF";"2013";"CH";"F_HS";335,666666666667;149,845666666667;7;25,137674331665;1,299444;1,48695278167725;0,34300000667572;48,102222;21,3;67,8;"p";44,1151161193848;671,5
"AF_ED_2010_ATE_1_NA";"AF";"2010";"ED";"F_HS";33,6666666666667;11,2806333333333;2;195,740768432617;-0,240426;2,77472543716431;0,359999990463257;46,016158;44,2;50;"nial";25,892993927002;955
"AF_ED_2010_ATE_2_NA";"AF";"2010";"ED";"F_HS";25;7,8795;2;195,740768432617;-0,240426;2,77472543716431;0,359999990463257;46,016158;44,2;50;"nial";25,892993927002;955
"AF_ED_2010_FTE_IR1_NA";"AF";"2010";"ED";"F_HS";106,333333333333;36,7031666666667;7;195,740768432617;-0,240426;2,77472543716431;0,359999990463257;46,016158;44,2;50;"f";25,892993927002;955
"AF_ED_2010_FTE_R1_NA";"AF";"2010";"ED";"F_HS";90,3333333333333;69,9406333333333;5;195,740768432617;-0,240426;2,77472543716431;0,359999990463257;46,016158;44,2;50;"f";25,892993927002;955
"AF_LM_2014_ATE_NA";"AF";"2014";"LM";"F_HS";192;82,7883666666667;6;172,813323974609;2,064583;2,02393007278442;0,342000007629395;49,473778;20,4;49,2;"nial";46,2080917358398;718,6
"AF_LM_2014_FTE_NA";"AF";"2014";"LM";"F_HS";1004;261,856733333333;14;172,813323974609;2,064583;2,02393007278442;0,342000007629395;49,473778;20,4;49,2;"f";46,2080917358398;718,6
"AF_LM_2014_FTE1_NA";"AF";"2014";"LM";"F_HS";616;190,2629;8;172,813323974609;2,064583;2,02393007278442;0,342000007629395;49,473778;20,4;49,2;"f";46,2080917358398;718,6
"AF_LM_2014_PTE_NA";"AF";"2014";"LM";"F_HS";420,333333333333;191,2178;11;172,813323974609;2,064583;2,02393007278442;0,342000007629395;49,473778;20,4;49,2;"p";46,2080917358398;718,6
"AF_MA_2013_ATE_NA";"AF";"2013";"MA";"F_HS";63,3333333333333;14,2853;4;196,581665039062;-0,1771;2,21204996109009;0,354999995231628;46,19815;34;55,2;"nial";32,2815895080566;935,3
"AF_MA_2013_PTE_NA";"AF";"2013";"MA";"F_HS";586,666666666667;245,708366666667;8;196,581665039062;-0,1771;2,21204996109009;0,354999995231628;46,19815;34;55,2;"p";32,2815895080566;935,3
"AF_PA_2013_ATE_NA";"AF";"2013";"PA";"F_HS";472,333333333333;179,652633333333;9;6,95559930801392;0,216361;1,94651293754578;0,347000002861023;47,821694;6,9;12,3;"nial";42,4064407348633;731,2
"AF_PA_2013_PTE_NA";"AF";"2013";"PA";"F_HS";456,666666666667;181,245466666667;12;6,95559930801392;0,216361;1,94651293754578;0,347000002861023;47,821694;6,9;12,3;"p";42,4064407348633;731,2
"AF_PO_2013_ATE_NA";"AF";"2013";"PO";"F_HS";356,666666666667;97,5612;7;75,9649353027344;2,047283;1,70173537731171;0,35;43,060167;22,9;34,2;"nial";13,1408252716064;988,8
"AF_SA_2013_ATE_NA";"AF";"2013";"SA";"F_HS";498,666666666667;161,167266666667;7;178,769165039062;-0,048292;1,99707961082458;0,366000008583069;45,45189;34,3;42,3;"nial";35,1297302246094;824,6
"AF_SA_2013_FTE_NA";"AF";"2013";"SA";"F_HS";510;119,4055;7;178,769165039062;-0,048292;1,99707961082458;0,366000008583069;45,45189;34,3;42,3;"f";35,1297302246094;824,6
"AF_SM_2013_PTE_NA";"AF";"2013";"SM";"F_HS";1028,66666666667;176,184133333333;7;172,853698730469;-0,511917;2,61110329627991;0,350999999046326;46,399333;29;59,1;"p";37,3300743103027;928,2
"AF_VER_2014_ATE_NA";"AF";"2014";"VER";"F_HS";250,666666666667;78,5156333333333;6;56,9923706054688;2,815663;1,48246824741364;0,342000007629395;49,667579;21,8;56,9;"nial";57,9096221923828;687,8
"AF_VER_2014_PTE_NA";"AF";"2014";"VER";"F_HS";610;168,461966666667;7;56,9923706054688;2,815663;1,48246824741364;0,342000007629395;49,667579;21,8;56,9;"p";57,9096221923828;687,8
"AF_VZ_2011_ATE_NA";"AF";"2011";"VZ";"F_HS";120;15,7259333333333;7;137,730438232422;4,110278;1,50973749160767;0,354999995231628;44,058047;22,8;51;"nial";26,8049945831299;999,7
"AF_VZ_2011_FTE_IR_NA";"AF";"2011";"VZ";"F_HS";84,6666666666667;45,0057333333333;1;137,730438232422;4,110278;1,50973749160767;0,354999995231628;44,058047;22,8;51;"f";26,8049945831299;999,7
"AF_VZ_2011_FTE_R_NA";"AF";"2011";"VZ";"F_HS";35,6666666666667;15,3090666666667;3;137,730438232422;4,110278;1,50973749160767;0,354999995231628;44,058047;22,8;51;"f";26,8049945831299;999,7
