"AB_tot";"Long";"Lat";"SableF";"LimonF";"LimonG";"Argile";"C_org";"C.N";"pH_eau";"OS";"Sables";"SableG";"Limons";"MO";"C_tot";"N_tot"
68,75;5,20696187110195;47,2720012026245;37;333;210;340;13,3392393875122;9,1;8,27;"OS_214";117;80;543;23,1;23,0592393875122;1,46529451012611
68,75;5,19903893091106;47,278380992203;40;353;251;338;12,2993802165985;8,95;7,92;"OS_214";58;18;604;21,3;13,1393802165985;1,37367069721221
43,75;5,20667260372542;47,2678300270835;42;342;211;281;15,1749256706237;10,1;8,37;"OS_214";166;124;553;26,3;26,8149256706237;1,50954708456993
6,25;5,21786666611884;47,2691484999073;68;283;117;355;33,5556358718872;9,29;8,16;"OS_214";245;177;400;58,1;62,1156358718872;3,61125022172927
50;5,21683749960843;47,2654975013516;67;201;79;224;27,0055442047119;8,95;8,28;"OS_214";496;429;280;46,7;90,4855442047119;3,01598101854324
62,5;5,22287083294087;47,2631644959122;44;233;98;269;25,8423628997802;8,37;8,24;"OS_214";400;356;331;44,7;68,3223628997802;3,08726757764816
37,5;5,23077466674358;47,2728693323008;36;382;271;298;11,5783476829528;9,51;5,92;"OS_214";49;13;653;20;11,5783476829528;1,21689282357692
43,75;5,23097866640774;47,2749653312561;43;402;302;238;11,1071169376373;9,49;5,8;"OS_214";58;15;704;19,2;11,1071169376373;1,17045477032661
87,5;5,22545643478181;47,278708584484;34;330;234;387;15,2928396511077;9,57;7,28;"OS_214";49;15;564;26,5;15,4128396511077;1,59841880202293
31,25;5,21960819142492;47,264435183796;63;232;96;266;28,7148314666748;9,37;8,32;"OS_210";406;343;328;49,7;79,5948314666748;3,06446462869644
37,5;5,22387349993937;47,2615450036208;57;320;138;272;29,7567191314697;9,18;8,16;"OS_210";270;213;458;51,5;57,2367191314697;3,24033617973327
68,75;4,58926230247703;47,2789104772709;34;338;154;457;20,0623425292969;9,38;6,82;"OS_214";51;17;492;34,7;20,1823425292969;2,13856056332588
87,5;4,59703552838297;47,2816975385369;30;373;149;409;22,5590344810486;10,1;7,88;"OS_214";69;39;522;39;25,9190344810486;2,24040120840073
0;4,6031743338373;47,2898898313289;83;280;160;321;48,4453211975098;9,97;8,02;"OS_210";239;156;440;83,8;111,32532119751;4,85687524080276
81,25;4,82623975183778;47,1710574831011;26;266;141;553;65,7426556396484;16,1;6,38;"OS_111";40;14;407;114;65,8626556396484;4,08314198255539
56,25;4,84558235292887;47,3872253178048;15;268;180;534;54,3432196426392;14,9;6,38;"OS_111";18;3;448;94;54,4632196426392;3,63510519266129
43,75;4,97250866619659;47,3937323297703;23;257;124;537;55,7943581390381;14,4;7,57;"OS_111";82;59;381;96,5;61,9143581390381;3,8874939084053
75;5,04309916701302;47,505959003604;62;256;160;349;63,3085164642334;14,3;7,9;"OS_111";235;173;416;110;104,348516464233;4,42262977361679
81,25;4,69153416680116;47,4145655032133;11;473;174;320;19,9920284748077;16;5,06;"OS_111";33;22;647;34,6;19,9920284748077;1,24967567622662
68,75;4,99898066648766;47,4757018378359;11;384;175;421;55,9434469985962;13,7;6,38;"OS_111";20;9;559;96,8;56,0634469985962;4,09194618463516
68,75;4,81322150041927;47,2548069989591;38;290;197;464;47,7835520553589;12,9;6,27;"OS_111";49;11;487;82,7;47,9035520553589;3,69003415107727
50;5,21794649990952;47,5954218349009;12;298;174;460;63,0204022598267;13,9;7,72;"OS_111";68;56;472;109;70,7004022598267;4,53178077936172
75;5,14441966609063;47,4852934983331;9;302;166;479;55,7989276885986;13,7;7,13;"OS_111";53;44;468;96,5;59,3989276885986;4,0730482339859
43,75;5,0753654995463;47,4264459970045;17;300;177;496;60,2446892547607;15,3;7,2;"OS_111";27;10;477;104;60,9646892547607;3,9323353767395
87,5;5,02412500021595;47,1973016652248;77;309;293;307;23,27;14,7;5,42;"OS_111";91;14;602;40,3;23,27;1,58
25;5,2198414997438;47,1869568347498;211;281;328;119;16,1167728900909;14,8;4,92;"OS_111";272;61;609;27,9;16,1167728900909;1,09085164964199
25;5,06384749946542;47,5340008363264;10;332;190;462;49,6594058609009;16,3;6,81;"OS_111";16;6;522;85,9;50,4994058609009;3,04619073867798
25;5,24469999961624;47,4062543300283;37;418;248;258;19,1681289672852;11,9;4,88;"OS_111";76;39;666;33,2;19,1681289672852;1,60794764757156
62,5;5,32187216663587;47,5394221624668;152;356;320;166;20,7357573509216;14,4;5,49;"OS_111";158;6;676;35,9;20,7357573509216;1,44349336624146
12,5;5,44831866710655;47,5251596665685;89;405;312;179;18,7930059432983;13,9;4,83;"OS_111";104;15;717;32,5;18,7930059432983;1,35546073317528
81,25;5,32425816705049;47,5605556649921;14;345;211;426;28,1482299613953;11,8;6,64;"OS_111";18;4;556;48,7;28,2682299613953;2,37693682312965
50;4,88017050028464;47,4456876654068;6;369;149;460;46,5738523101807;14,3;6,94;"OS_111";22;16;518;80,6;49,8138523101807;3,25573593378067
25;5,05637716747448;47,6234730038752;56;256;110;299;73,0571865081787;13,1;7,96;"OS_111";335;279;366;126;115,657186508179;5,58353900909424
18,75;5,1898783329806;47,5213763342978;84;368;150;219;27,2688298797607;11,6;8,21;"OS_214";263;179;518;47,2;88,7088298797607;2,35815674066543
62,5;5,14830583314279;47,5264076697761;98;397;157;282;22,58;9,5;8,27;"OS_214";164;66;554;39,1;125,54;2,37666666666666
6,25;5,21971493624057;47,5799341836937;15;401;208;368;17,9305232906341;11,3;7,46;"OS_214";23;8;609;31;18,2905232906341;1,58827140927314
87,5;5,19567311469472;47,5330206381896;52;274;141;214;38,2813817596435;12,1;8,06;"OS_214";371;319;415;66,2;87,1213817596435;3,1660121679306
56,25;4,8423298335621;47,2610360002866;172;205;273;277;15,85;9,4;8,23;"OS_214";245;73;478;27,4;19,9007320404052;1,68573632836341
75;5,10472716655189;47,3298484979428;156;255;169;381;21,8384057235717;12,5;8,19;"OS_214";195;39;424;37,8;27,7184057235717;1,7436796426773
68,75;5,10769392498449;47,3612953289085;110;235;154;481;19,8378992843627;8,37;8,26;"OS_214";130;20;389;34,3;30,7578992843627;2,36948415637016
87,5;5,2198851661466;47,3503080010875;63;302;200;407;18,842194700241;9,86;7,98;"OS_214";91;28;502;32,6;19,442194700241;1,91033616662025
12,5;4,77911031718973;47,3902970575971;30;453;133;335;27,8600016403198;10,1;7,95;"OS_214";79;49;586;48,2;29,7800016403198;2,76935309171676
37,5;5,08149383387395;47,4526394997663;32;293;111;513;23,5706937408447;10,2;8;"OS_214";83;51;404;40,8;26,8106937408447;2,30457291007041
43,75;5,32266583278836;47,3308043351225;84;346;290;250;12,1610355377197;10,6;6,61;"OS_214";114;30;636;21;12,1610355377197;1,14974603056907
0;5,03808834764988;47,5956983543217;91;295;118;177;26,7616988372802;9,35;8,28;"OS_214";410;319;413;46,3;65,6416988372802;2,8608027100563
81,25;5,0295618331287;47,182201998564;116;220;337;308;11,6472288894653;9,52;7,98;"OS_214";135;19;557;20,1;12,9672288894653;1,22404970228672
81,25;5,16274600002228;47,2584238335988;128;347;235;266;11,0973638153076;8,63;8,38;"OS_214";152;24;582;19,2;58,7373638153076;1,28637701272964
87,5;4,75565133271077;47,4525981643979;39;373;146;418;27,0605677223206;9,51;7,92;"OS_214";63;24;519;46,8;29,7005677223206;2,84560799598694
43,75;5,35685866436399;47,4323459101271;50;374;279;274;13,3;9,45;7,25;"OS_214";73;23;653;23;13,3227360248566;1,4079438149929
43,75;5,34759656336407;47,4561756430107;53;435;312;165;10,2036075687408;9,76;7,77;"OS_214";88;35;747;17,7;10,4436075687408;1,04535587131977
12,5;5,0392241666821;47,2486388359314;47;342;234;333;14,9;10,2;7,29;"OS_214";91;44;576;25,8;14,8625028133392;1,46530777215958
87,5;5,19865333352606;47,2891580026813;33;348;252;360;13,1;9,62;7,04;"OS_214";40;7;600;22,7;13,1173586845398;1,36155515909195
75;5,40907390396687;47,3866148211506;110;344;331;139;8,43723177909851;9,57;6,22;"OS_214";186;76;675;14,6;8,43723177909851;0,881819501519203
62,5;4,9048285460856;47,3752921441326;46;444;142;278;34,2091986846924;9,46;8,03;"OS_214";136;90;586;59,2;48,4891986846924;3,61574321985245
62,5;5,31001761615461;47,5956877629667;69;288;141;349;40,1460856628418;9,89;7,99;"OS_210";222;153;429;69,5;77,2260856628418;4,05956715345383
12,5;5,08719556644682;47,4125019664462;37;351;138;355;37,0447110748291;9,33;7,98;"OS_210";156;119;489;64,1;54,0847110748291;3,97103011608124
12,5;4,99026116672556;47,3582454967355;56;237;121;512;50,4576192855835;9,6;7,94;"OS_210";130;74;358;87,3;76,8576192855835;5,25387346744537
31,25;4,72926574883218;47,5271434923132;40;394;171;245;64,1676221466064;9,49;7,95;"OS_210";190;150;565;111;92,6076221466064;6,76494896411896
18,75;4,94032912866279;47,2009398584352;33;292;67;543;35,8529367446899;9,68;8,03;"OS_210";98;65;359;62;41,8529367446899;3,70239198207855
43,75;5,15124866643723;47,5225343315669;68;266;140;346;38,0182233810425;10,3;8,08;"OS_210";248;180;406;65,8;76,4182233810425;3,69086712598801
43,75;4,97351488108001;47,2524699530553;77;245;176;356;21,1068362426758;11,7;8,27;"OS_218";223;146;421;36,5;43,1868362426758;1,80879160761833
6,25;4,98796383406893;47,2739513368465;50;266;168;419;19,1458023834229;10,6;8,21;"OS_218";147;97;434;33,1;31,2658023834229;1,81075930595398
6,25;4,98370333389831;47,2666288319882;77;204;151;389;20,7015772628784;11,5;8,22;"OS_218";256;179;355;35,8;49,6215772628784;1,79592907428741
68,75;4,9560361660525;47,1833281659984;66;243;166;409;20,1579538726807;11,6;8,23;"OS_218";182;116;409;34,9;41,5179538726807;1,74434587359428
50;4,95542349958963;47,1531523295805;178;235;194;285;17,5968155670166;10,8;8,25;"OS_218";286;108;429;30,4;65,1168155670166;1,62991940975189
75;4,95939916635495;47,1922726658436;71;257;146;350;15,4636686325073;10,5;8,26;"OS_218";247;176;403;26,8;43,6636686325073;1,47055074572563
31,25;4,96768849941685;47,22809066475;110;180;164;426;18,4120599555969;11,1;8,22;"OS_218";230;120;344;31,9;37,7320599555969;1,66447699069977
62,5;4,99722516696618;47,2862991635916;42;298;179;366;14,3438481521606;10,4;8,26;"OS_218";157;115;477;24,8;33,4238481521606;1,38497337698936
18,75;4,96741266716281;47,2296540021034;99;220;171;471;19,3536898040771;11,7;8,09;"OS_218";138;39;391;33,5;22,7136898040771;1,65639877319336
12,5;4,97389433263834;47,2317761648197;67;255;186;446;16,1713097000122;11,2;8,2;"OS_218";113;46;441;28;21,9313097000122;1,44853159785271
25;4,95830149992839;47,1825388298283;71;273;154;373;17,2599938964843;10,6;8,27;"OS_218";200;129;427;29,9;43,8999938964843;1,62568002939224
56,25;4,84388750015005;47,1602793314502;181;170;194;270;19,9310363388061;10,1;8,22;"OS_218";366;185;364;34,5;55,5710363388061;1,9689205288887
12,5;4,98165506969751;47,2814784609475;38;298;168;474;17,824341506958;11,5;8,16;"OS_218";60;22;466;30,8;20,104341506958;1,54733121395111
37,5;4,99871366612589;47,2852044982336;34;307;177;403;22,0785303306579;10,9;8,14;"OS_218";113;79;484;38,2;31,5585303306579;2,01840505003929
68,75;4,96520266647337;47,208232167678;59;266;162;387;19,2317412185668;11,3;8,3;"OS_218";185;126;428;33,3;37,9517412185668;1,69998109340667
87,5;4,83717966709073;47,1425000008645;121;218;143;336;20,9041180801391;10,4;8,24;"OS_218";303;182;361;36,2;48,3841180801391;2,00647294521331
62,5;4,98158583298114;47,2459429980413;85;244;164;357;29,0548932266235;11,4;8,26;"OS_218";235;150;408;50,3;49,3348932266235;2,53907799720764
12,5;4,95787233289876;47,1898131698643;66;244;151;357;18,1643559646606;11,9;8,29;"OS_218";248;182;395;31,4;44,4443559646606;1,52033314108848
18,75;4,92807950015309;47,1551856688999;76;238;76;385;26,8840162277221;10,5;8,27;"OS_218";301;225;314;46,5;67,6840162277221;2,54894196987152
0;4,97743566700264;47,2442746702639;115;242;174;326;18,5477671051025;12,1;8,31;"OS_218";258;143;416;32,1;53,1077671051025;1,53785064816474
18,75;4,98224301379152;47,2672636519645;73;219;138;350;20,925929069519;11,8;8,29;"OS_218";293;220;357;36,2;53,925929069519;1,77910521626472
20;4,97447883357547;47,3231350009647;81;190;90;512;22,6306778335571;11;8,28;"OS_218";208;127;280;39,2;49,9906778335571;2,0535646378994
30;4,96809616695477;47,3169468375078;75;167;75;362;29,6939013290405;10,5;8,17;"OS_218";396;321;242;51,4;78,4139013290405;2,81594604253769
30;4,98350166638145;47,3111640031221;109;237;141;411;17,3623292541504;10,7;8,34;"OS_218";211;102;378;30;77,6023292541504;1,61841034889221
93,75;5,20162866712946;47,2832921674127;39;345;237;325;15,2737581443786;8,85;8,07;"OS_214";93;54;582;26,4;20,5537581443786;1,72545909881591
106,25;5,1989275485075;47,2795665688724;44;370;271;307;12,112357263565;9,29;6,94;"OS_214";52;8;641;21;12,232357263565;1,30327507853508
143,75;5,21362999949962;47,2697670029655;47;224;93;326;26,6912533187866;8,93;8,22;"OS_214";357;310;317;46,2;72,0512533187866;2,98992395401
