"BM_tot";"Long";"Lat";"SableF";"LimonF";"LimonG";"Argile";"C_org";"C.N";"pH_eau";"OS";"Sables";"SableG";"Limons";"MO";"C_tot";"N_tot"
3,6875;5,21210583404264;47,2725816693599;49;265;123;348;25,9939623260498;9,19;8,21;"OS_214";264;215;388;45;53,9539623260498;2,82855510711669
6,55625;5,20696187110195;47,2720012026245;37;333;210;340;13,3392393875122;9,1;8,27;"OS_214";117;80;543;23,1;23,0592393875122;1,46529451012611
10,25;5,19903893091106;47,278380992203;40;353;251;338;12,2993802165985;8,95;7,92;"OS_214";58;18;604;21,3;13,1393802165985;1,37367069721221
7,1875;5,20667260372542;47,2678300270835;42;342;211;281;15,1749256706237;10,1;8,37;"OS_214";166;124;553;26,3;26,8149256706237;1,50954708456993
0,35625;5,21786666611884;47,2691484999073;68;283;117;355;33,5556358718872;9,29;8,16;"OS_214";245;177;400;58,1;62,1156358718872;3,61125022172927
0,13125;5,21878711238058;47,2611448686797;60;298;102;323;33,6224789047241;8,59;8,14;"OS_214";277;217;400;58,2;77,1824789047241;3,91538381576538
12,40625;5,22452516707734;47,2641583342107;55;250;127;319;24,2323667144775;9,06;8,2;"OS_214";304;249;377;41,9;58,0723667144775;2,6746717095375
12,075;5,23077466674358;47,2728693323008;36;382;271;298;11,5783476829528;9,51;5,92;"OS_214";49;13;653;20;11,5783476829528;1,21689282357692
0;5,21629400055701;47,2640146641592;51;136;70;172;34,6591715240478;9,06;8,29;"OS_210";622;571;206;60;102,219171524047;3,82463783025741
5,125;5,22387349993937;47,2615450036208;57;320;138;272;29,7567191314697;9,18;8,16;"OS_210";270;213;458;51,5;57,2367191314697;3,24033617973327
10,15625;4,58926230247703;47,2789104772709;34;338;154;457;20,0623425292969;9,38;6,82;"OS_214";51;17;492;34,7;20,1823425292969;2,13856056332588
0;4,6031743338373;47,2898898313289;83;280;160;321;48,4453211975098;9,97;8,02;"OS_210";239;156;440;83,8;111,32532119751;4,85687524080276
2,9375;4,82623975183778;47,1710574831011;26;266;141;553;65,7426556396484;16,1;6,38;"OS_111";40;14;407;114;65,8626556396484;4,08314198255539
9,9;4,84212000023756;47,2994119960212;35;237;195;529;56,8615851593018;14,3;7,13;"OS_111";39;4;432;98,4;57,3415851593018;3,98827463388443
2,70625;4,97250866619659;47,3937323297703;23;257;124;537;55,7943581390381;14,4;7,57;"OS_111";82;59;381;96,5;61,9143581390381;3,8874939084053
6,3;4,69153416680116;47,4145655032133;11;473;174;320;19,9920284748077;16;5,06;"OS_111";33;22;647;34,6;19,9920284748077;1,24967567622662
6,39375;4,99898066648766;47,4757018378359;11;384;175;421;55,9434469985962;13,7;6,38;"OS_111";20;9;559;96,8;56,0634469985962;4,09194618463516
9,79375;4,81322150041927;47,2548069989591;38;290;197;464;47,7835520553589;12,9;6,27;"OS_111";49;11;487;82,7;47,9035520553589;3,69003415107727
2,2625;5,21794649990952;47,5954218349009;12;298;174;460;63,0204022598267;13,9;7,72;"OS_111";68;56;472;109;70,7004022598267;4,53178077936172
13,85625;5,14441966609063;47,4852934983331;9;302;166;479;55,7989276885986;13,7;7,13;"OS_111";53;44;468;96,5;59,3989276885986;4,0730482339859
11,75;5,2189260005384;47,4698361690631;14;239;146;587;43,7863315963745;14,4;7,21;"OS_111";28;14;385;75,8;45,3463315963745;3,04606258869171
12,7125;5,14955900032885;47,441190503721;59;337;242;201;17,4403938102722;15,2;4,85;"OS_111";220;161;579;30,2;17,5603938102722;1,14641487598419
4,3;5,0753654995463;47,4264459970045;17;300;177;496;60,2446892547607;15,3;7,2;"OS_111";27;10;477;104;60,9646892547607;3,9323353767395
6,3;5,10596015675859;47,1442426784815;149;342;329;136;18,529771566391;15,5;5,25;"OS_111";193;44;671;32,1;18,529771566391;1,19338989257812
13,84375;5,30791016629726;47,1360598320713;88;208;94;596;74,3748357391357;10,8;7,72;"OS_111";102;14;302;129;83,6148357391357;6,88143074512482
13,06875;5,17007150436755;47,6505799233371;47;339;134;237;74,6861422729492;11,3;7,81;"OS_111";290;243;473;129;112,366142272949;6,63622260093689
12,3375;4,79402950049601;47,2074346646461;20;380;190;397;67,9797657775879;14,6;6,57;"OS_111";33;13;570;118;68,0997657775879;4,66783851385117
4,92500000000001;5,2198414997438;47,1869568347498;211;281;328;119;16,1167728900909;14,8;4,92;"OS_111";272;61;609;27,9;16,1167728900909;1,09085164964199
0,74375;5,44831866710655;47,5251596665685;89;405;312;179;18,7930059432983;13,9;4,83;"OS_111";104;15;717;32,5;18,7930059432983;1,35546073317528
10,66875;4,7776716664605;47,5177901697188;39;459;137;206;48,0460779953002;9,61;8,05;"OS_214";198;159;596;83,1;69,7660779953003;4,9977046251297
7,4;5,43636549019842;47,5909016900328;50;296;183;386;9,92;10,1;6,09;"OS_214";135;85;479;17,2;9,91840660572052;0,979475304484367
0,475;5,21971493624057;47,5799341836937;15;401;208;368;17,9305232906341;11,3;7,46;"OS_214";23;8;609;31;18,2905232906341;1,58827140927314
13,3;5,1308951664774;47,2316994959672;55;280;114;510;19,546009311676;8,97;8,25;"OS_214";96;41;394;33,8;37,786009311676;2,17857792973518
8,1625;5,19567311469472;47,5330206381896;52;274;141;214;38,2813817596435;12,1;8,06;"OS_214";371;319;415;66,2;87,1213817596435;3,1660121679306
7,5125;4,8423298335621;47,2610360002866;172;205;273;277;15,85;9,4;8,23;"OS_214";245;73;478;27,4;19,9007320404052;1,68573632836341
7,65;5,10769392498449;47,3612953289085;110;235;154;481;19,8378992843627;8,37;8,26;"OS_214";130;20;389;34,3;30,7578992843627;2,36948415637016
1,9375;4,77911031718973;47,3902970575971;30;453;133;335;27,8600016403198;10,1;7,95;"OS_214";79;49;586;48,2;29,7800016403198;2,76935309171676
10,13125;4,81235565584989;47,5351535045367;49;397;137;230;36,6680418014526;10,5;8,1;"OS_214";236;187;534;63,4;63,0680418014526;3,47869038581848
0;5,03808834764988;47,5956983543217;91;295;118;177;26,7616988372802;9,35;8,28;"OS_214";410;319;413;46,3;65,6416988372802;2,8608027100563
5;4,75565133271077;47,4525981643979;39;373;146;418;27,0605677223206;9,51;7,92;"OS_214";63;24;519;46,8;29,7005677223206;2,84560799598694
2,8875;4,88434589906323;47,465068132319;29;441;146;280;41,6850662612915;9,7;7,98;"OS_214";133;104;587;72,1;54,6450662612915;4,29683327674866
1,2;5,0392241666821;47,2486388359314;47;342;234;333;14,9;10,2;7,29;"OS_214";91;44;576;25,8;14,8625028133392;1,46530777215958
8,00625;5,19865333352606;47,2891580026813;33;348;252;360;13,1;9,62;7,04;"OS_214";40;7;600;22,7;13,1173586845398;1,36155515909195
14,34375;4,5926966158468;47,3786872418082;24;407;148;409;24,0261867332459;9,34;7,83;"OS_214";36;12;555;41,6;24,7461867332458;2,57185995578766
9,2375;5,18860549994145;47,1334668309626;84;211;171;468;17,6012694835663;9,16;7,19;"OS_214";150;66;382;30,5;17,6012694835663;1,92235633730888
2,55625;4,8898909986457;47,3902891931653;32;510;152;233;38,3235988998413;9,87;7,99;"OS_214";105;73;662;66,3;45,2835988998413;3,88149470090866
14;5,12317149982911;47,3112575008547;184;192;155;422;18,3;9,6;7,68;"OS_214";231;47;347;31,7;18,3178722858429;1,90705195069313
2,2375;5,31001761615461;47,5956877629667;69;288;141;349;40,1460856628418;9,89;7,99;"OS_210";222;153;429;69,5;77,2260856628418;4,05956715345383
10,64375;4,80415843924772;47,4595995260689;64;274;195;379;40,3181590270996;10,6;8,01;"OS_210";152;88;469;69,8;50,3981590270996;3,79799455404282
1;5,08643083336255;47,5120721644461;45;368;160;368;69,0336936950684;9,59;7,91;"OS_210";104;59;528;119;84,6336936950684;7,1994286775589
2,0125;4,94032912866279;47,2009398584352;33;292;67;543;35,8529367446899;9,68;8,03;"OS_210";98;65;359;62;41,8529367446899;3,70239198207855
2,00625;5,15124866643723;47,5225343315669;68;266;140;346;38,0182233810425;10,3;8,08;"OS_210";248;180;406;65,8;76,4182233810425;3,69086712598801
13,2875;4,97398866645502;47,2548880007438;112;205;167;429;18,5885122871399;10,9;8,29;"OS_218";199;87;372;32,2;30,2285122871399;1,71201378107071
9,3875;4,97732116634314;47,256594501307;92;250;180;420;17,3250553894043;11,7;8,21;"OS_218";150;58;430;30;21,0450553894043;1,47840738296509
5,3375;4,97835900062954;47,2636638369498;97;215;170;426;16,8187014579773;11,1;8,13;"OS_218";189;92;385;29,1;27,6187014579773;1,5193572640419
2,6125;4,9798850529084;47,2661542783181;105;181;161;423;17,2331647109985;10,5;8,19;"OS_218";235;130;342;29,8;33,3131647109985;1,63532003760338
2,875;4,98796383406893;47,2739513368465;50;266;168;419;19,1458023834229;10,6;8,21;"OS_218";147;97;434;33,1;31,2658023834229;1,81075930595398
1,9;4,98370333389831;47,2666288319882;77;204;151;389;20,7015772628784;11,5;8,22;"OS_218";256;179;355;35,8;49,6215772628784;1,79592907428741
7,025;4,95542349958963;47,1531523295805;178;235;194;285;17,5968155670166;10,8;8,25;"OS_218";286;108;429;30,4;65,1168155670166;1,62991940975189
3,90625;4,96384700039795;47,2332996645061;81;226;152;359;20,1995207595825;10,7;8,29;"OS_218";263;182;378;34,9;48,5195207595825;1,89391791820526
1,3625;4,96768849941685;47,22809066475;110;180;164;426;18,4120599555969;11,1;8,22;"OS_218";230;120;344;31,9;37,7320599555969;1,66447699069977
13,28125;4,99722516696618;47,2862991635916;42;298;179;366;14,3438481521606;10,4;8,26;"OS_218";157;115;477;24,8;33,4238481521606;1,38497337698936
0,69375;4,96741266716281;47,2296540021034;99;220;171;471;19,3536898040771;11,7;8,09;"OS_218";138;39;391;33,5;22,7136898040771;1,65639877319336
0,525;4,97389433263834;47,2317761648197;67;255;186;446;16,1713097000122;11,2;8,2;"OS_218";113;46;441;28;21,9313097000122;1,44853159785271
13,46875;4,96513616651567;47,2032236657616;66;227;162;423;22,585808391571;11,7;8,19;"OS_218";188;122;389;39,1;37,465808391571;1,93403035402297
1,15625;4,96263916680524;47,1933224997272;63;206;150;468;22,0394083404541;11,5;8,23;"OS_218";176;113;356;38,1;40,3994083404541;1,9085019826889
14,16875;4,84388750015005;47,1602793314502;181;170;194;270;19,9310363388061;10,1;8,22;"OS_218";366;185;364;34,5;55,5710363388061;1,9689205288887
2,55625;4,98165506969751;47,2814784609475;38;298;168;474;17,824341506958;11,5;8,16;"OS_218";60;22;466;30,8;20,104341506958;1,54733121395111
7,9625;4,99871366612589;47,2852044982336;34;307;177;403;22,0785303306579;10,9;8,14;"OS_218";113;79;484;38,2;31,5585303306579;2,01840505003929
3,625;4,96520266647337;47,208232167678;59;266;162;387;19,2317412185668;11,3;8,3;"OS_218";185;126;428;33,3;37,9517412185668;1,69998109340667
13,6625;4,98289566717574;47,265462670929;69;220;147;453;18,783906879425;11;8,23;"OS_218";180;111;367;32,5;35,343906879425;1,71166941523551
0,30625;4,95787233289876;47,1898131698643;66;244;151;357;18,1643559646606;11,9;8,29;"OS_218";248;182;395;31,4;44,4443559646606;1,52033314108848
3,0375;4,92807950015309;47,1551856688999;76;238;76;385;26,8840162277221;10,5;8,27;"OS_218";301;225;314;46,5;67,6840162277221;2,54894196987152
0;4,97743566700264;47,2442746702639;115;242;174;326;18,5477671051025;12,1;8,31;"OS_218";258;143;416;32,1;53,1077671051025;1,53785064816474
3,24375;4,98224301379152;47,2672636519645;73;219;138;350;20,925929069519;11,8;8,29;"OS_218";293;220;357;36,2;53,925929069519;1,77910521626472
4,495;4,96809616695477;47,3169468375078;75;167;75;362;29,6939013290405;10,5;8,17;"OS_218";396;321;242;51,4;78,4139013290405;2,81594604253769
3,59;4,98350166638145;47,3111640031221;109;237;141;411;17,3623292541504;10,7;8,34;"OS_218";211;102;378;30;77,6023292541504;1,61841034889221
21,6375;5,21157049393543;47,2702858378279;45;291;143;384;45,4956164932251;11,3;8,18;"OS_214";182;137;434;78,7;55,9356164932251;4,02504801750183
30,6375;5,21362999949962;47,2697670029655;47;224;93;326;26,6912533187866;8,93;8,22;"OS_214";357;310;317;46,2;72,0512533187866;2,98992395401
26,39375;5,2210903334142;47,2700881665338;42;327;197;373;26,9629363059997;9,22;8,12;"OS_214";103;61;524;46,6;36,5629363059997;2,92315870523452
28,38125;5,22288200011081;47,2665108299639;48;250;143;334;20,2789326095581;8,75;8,23;"OS_214";273;225;393;35,1;51,2389326095581;2,31764286756515
23,53125;5,22347333410078;47,2742195038158;34;351;245;352;15,081785697937;8,96;7,67;"OS_214";52;18;596;26,1;15,561785697937;1,68376490473747
27,175;5,22605857215995;47,2778474984762;35;376;273;304;15,3520413684844;9,44;6,61;"OS_214";47;12;649;26,6;15,4720413684844;1,62682980298995
38,2625;5,2293663007282;47,2786384424485;45;396;301;243;10,7963705062866;9,47;6,1;"OS_214";60;15;697;18,7;10,7963705062866;1,13982684910297
29,3;5,22545643478181;47,278708584484;34;330;234;387;15,2928396511077;9,57;7,28;"OS_214";49;15;564;26,5;15,4128396511077;1,59841880202293
20,2375;5,21712742900206;47,2624614757843;96;225;106;252;29,9672722625732;8,9;8,27;"OS_210";417;321;331;51,8;83,4872722625732;3,36721986532211
33,41875;5,21926401500061;47,2629371146043;71;318;111;303;30,4688372039794;9,45;8,21;"OS_210";268;197;429;52,7;77,0288372039794;3,22290569543838
34,13125;4,60094432145603;47,2781058150258;42;295;92;343;32,0494738769531;9,84;8,06;"OS_214";270;228;387;55,4;61,9294738769531;3,25659155845642
26,31875;4,59703552838297;47,2816975385369;30;373;149;409;22,5590344810486;10,1;7,88;"OS_214";69;39;522;39;25,9190344810486;2,24040120840073
26,45625;4,60112686184349;47,285484287162;35;393;125;399;29,0811794471741;9,53;7,94;"OS_214";83;48;518;50,3;33,7611794471741;3,05311441421509
37,94375;4,59241361229387;47,2731901780076;47;284;99;305;31,6447152328491;9,61;8,03;"OS_214";312;265;383;54,7;71,7247152328491;3,29169929027557
