"Richesse";"Long";"Lat";"SableF";"LimonF";"LimonG";"Argile";"C_org";"C.N";"pH_eau";"OS";"Sables";"SableG";"Limons";"MO";"C_tot";"N_tot"
0,75;5,21210583404264;47,2725816693599;49;265;123;348;25,9939623260498;9,19;8,21;"OS_214";264;215;388;45;53,9539623260498;2,82855510711669
1;5,20696187110195;47,2720012026245;37;333;210;340;13,3392393875122;9,1;8,27;"OS_214";117;80;543;23,1;23,0592393875122;1,46529451012611
1;5,19903893091106;47,278380992203;40;353;251;338;12,2993802165985;8,95;7,92;"OS_214";58;18;604;21,3;13,1393802165985;1,37367069721221
1;5,20667260372542;47,2678300270835;42;342;211;281;15,1749256706237;10,1;8,37;"OS_214";166;124;553;26,3;26,8149256706237;1,50954708456993
1,25;5,21157049393543;47,2702858378279;45;291;143;384;45,4956164932251;11,3;8,18;"OS_214";182;137;434;78,7;55,9356164932251;4,02504801750183
0,25;5,21786666611884;47,2691484999073;68;283;117;355;33,5556358718872;9,29;8,16;"OS_214";245;177;400;58,1;62,1156358718872;3,61125022172927
1;5,21886116682223;47,2673936656359;62;285;100;212;24,0321775817871;9,13;8,27;"OS_214";403;341;385;41,6;87,3921775817871;2,63315826654434
1;5,21683749960843;47,2654975013516;67;201;79;224;27,0055442047119;8,95;8,28;"OS_214";496;429;280;46,7;90,4855442047119;3,01598101854324
0,25;5,21878711238058;47,2611448686797;60;298;102;323;33,6224789047241;8,59;8,14;"OS_214";277;217;400;58,2;77,1824789047241;3,91538381576538
1,25;5,22288200011081;47,2665108299639;48;250;143;334;20,2789326095581;8,75;8,23;"OS_214";273;225;393;35,1;51,2389326095581;2,31764286756515
1;5,22287083294087;47,2631644959122;44;233;98;269;25,8423628997802;8,37;8,24;"OS_214";400;356;331;44,7;68,3223628997802;3,08726757764816
1,25;5,22524053001296;47,2700917034218;37;363;255;333;15,5852191543579;9,46;7,34;"OS_214";49;12;618;27;15,8252191543579;1,64815515279769
1,25;5,23077466674358;47,2728693323008;36;382;271;298;11,5783476829528;9,51;5,92;"OS_214";49;13;653;20;11,5783476829528;1,21689282357692
1,5;5,22512649983532;47,2730353304696;37;383;278;289;12,126663570404;9,35;6,31;"OS_214";50;13;661;21;12,246663570404;1,29668176174163
1,5;5,23097866640774;47,2749653312561;43;402;302;238;11,1071169376373;9,49;5,8;"OS_214";58;15;704;19,2;11,1071169376373;1,17045477032661
1,5;5,22347333410078;47,2742195038158;34;351;245;352;15,081785697937;8,96;7,67;"OS_214";52;18;596;26,1;15,561785697937;1,68376490473747
0,25;5,22779200033199;47,2764883377389;40;398;301;244;11,4123690128326;9,41;6,79;"OS_214";57;17;699;19,7;11,4123690128326;1,21238179504871
1,25;5,22605857215995;47,2778474984762;35;376;273;304;15,3520413684844;9,44;6,61;"OS_214";47;12;649;26,6;15,4720413684844;1,62682980298995
1,5;5,2293663007282;47,2786384424485;45;396;301;243;10,7963705062866;9,47;6,1;"OS_214";60;15;697;18,7;10,7963705062866;1,13982684910297
1,5;5,22705056803436;47,2810571371935;43;373;278;291;12,5696464824676;9,66;6,98;"OS_214";58;15;651;21,7;12,6896464824676;1,30136162042617
0;5,21629400055701;47,2640146641592;51;136;70;172;34,6591715240478;9,06;8,29;"OS_210";622;571;206;60;102,219171524047;3,82463783025741
1;5,21960819142492;47,264435183796;63;232;96;266;28,7148314666748;9,37;8,32;"OS_210";406;343;328;49,7;79,5948314666748;3,06446462869644
1;5,22387349993937;47,2615450036208;57;320;138;272;29,7567191314697;9,18;8,16;"OS_210";270;213;458;51,5;57,2367191314697;3,24033617973327
1,5;4,59624883346674;47,2898723299107;58;419;112;247;48,2087912750244;9,36;7,94;"OS_214";222;164;531;83,4;75,6887912750244;5,14937162399292
1,5;4,60112686184349;47,285484287162;35;393;125;399;29,0811794471741;9,53;7,94;"OS_214";83;48;518;50,3;33,7611794471741;3,05311441421509
1,5;4,59314980180037;47,2834205643737;54;243;87;254;44,9899534606934;9,49;8,05;"OS_214";416;362;330;77,8;97,5499534606934;4,73897516727448
