"ID_Site";"Code_Parcelle";"Programme";"Annee";"Protocole";"Code_Methode";"AB_tot";"BM_tot";"AB_EPI";"AB_EPA";"AB_ANS";"AB_END";"AB_GF_X";"BM_EPI";"BM_EPA";"BM_ANS";"BM_END";"BM_GF_X";"Div_Fonc";"AB_AD";"AB_JV";"AB_SA";"BM_AD";"BM_JV";"BM_SA";"AB_AD_EPI";"AB_AD_EPA";"AB_AD_ANS";"AB_AD_END";"Richesse";"Shannon";"Equitabilite";"AB_AAA";"AB_AB";"AB_ACCT";"AB_ACCX";"AB_ACU";"AB_AI";"AB_AM";"AB_ARR";"AB_AX";"AB_DM";"AB_DRR";"AB_DV";"AB_DX";"AB_EFX";"AB_LC";"AB_LRC";"AB_LT";"AB_LX_A";"AB_LX_E";"AB_MP";"AB_NCCT";"AB_NCM";"AB_NG";"AB_NLL";"AB_NN";"AB_NX_A";"AB_NX_N";"AB_OC";"AB_OX";"AB_X_E";"BM_AAA";"BM_AB";"BM_ACCT";"BM_ACCX";"BM_ACU";"BM_AI";"BM_AM";"BM_ARR";"BM_AX";"BM_DM";"BM_DRR";"BM_DV";"BM_DX";"BM_EFX";"BM_LC";"BM_LRC";"BM_LT";"BM_LX_A";"BM_LX_E";"BM_MP";"BM_NCCT";"BM_NCM";"BM_NG";"BM_NLL";"BM_NN";"BM_NX_A";"BM_NX_N";"BM_OC";"BM_OX";"BM_X_E";"Date_Prelevement";"Code_Postal";"Ville";"Departement";"Anc_Region";"Region";"Long";"Lat";"Categorie_Milieu_Niv1";"SousCategorie_Milieu_Niv2";"OS";"Ferti_";"w_sol_";"SableF";"SableG";"LimonF";"LimonG";"Argile";"Sables";"Limons";"Texture_GEPPA";"MO";"C_tot";"C_org";"C_org_ou_tot";"C.N";"N_tot";"N_org_ou_tot";"CaCO3_tot";"pH_eau";"pH_eau_ou_kcl";"Commentaire_META";"AB_ACPX";"AB_NCCR";"AB_X_N";"BM_ACPX";"BM_NCCR";"BM_X_N"
"TIDM_GEN_GC_496";"TIDM_GEN_GC_496";"Pro’Dij";"2023";"TB";"TB";93,75;7,28125;0;0;0;93,75;0;0;0;0;7,28125;0;2;12,5;50;31,25;1,0153125;3,6525;2,6134375;0;0;0;12,5;1;0;NA;0;0;0;87,5;0;0;0;6,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,6984375;0;0;0;0,5828125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"14/04/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,20162866712946;47,2832921674127;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";NA;39;54;345;237;325;93;582;NA;26,4;20,5537581443786;15,2737581443786;15,2737581443786;8,85;1,72545909881591;1,72545909881591;44;8,07;8,07;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_497";"TIDM_GEN_GC_497";"Pro’Dij";"2023";"TB";"TB";206,25;53,98125;0;0;43,75;162,5;0;0;0;24,5125;29,46875;0;6;106,25;43,75;56,25;26,915744047619;11,7111011904762;15,3544047619048;0;0;18,75;87,5;2;0,65;0,65;0;0;0;162,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43,75;0;0;0;0;0;0;0;0;0;29,46875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,5125;0;0;0;0;0;0;"27/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,19876316691503;47,2806783368212;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";NA;39;5;336;237;383;44;573;NA;21,9;12,7804124355316;12,6604124355316;12,6604124355316;8,93;1,41806796193122;1,41806796193122;1;7,65;7,65;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_498";"TIDM_GEN_GC_498";"Pro’Dij";"2023";"TB";"TB";106,25;41,8875;0;0;37,5;68,75;0;0;0;30,5125;11,375;0;2;43,75;6,25;56,25;18,109375;0,9390625;22,8390625;0;0;12,5;31,25;1,75;0;NA;0;0;0;68,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37,5;0;0;0;0;0;0;0;0;0;11,375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30,5125;0;0;0;0;0;0;"27/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,1989275485075;47,2795665688724;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";"oui";44;8;370;271;307;52;641;NA;21;12,232357263565;12,112357263565;12,112357263565;9,29;1,30327507853508;1,30327507853508;1;6,94;6,94;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_499";"TIDM_GEN_GC_499";"Pro’Dij";"2023";"TB";"TB";381,25;87,26875;0;0;68,75;312,5;0;0;0;47,3;39,96875;0;6;175;106,25;100;29,3868219403146;32,4988061570782;25,3831219026072;0;0;12,5;162,5;2,75;0,91;0,57;0;0;0;293,75;0;0;18,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,25;0;62,5;0;0;0;0;0;0;0;0;0;37,3902432126697;0;0;2,57850678733031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,7;0;41,6;0;0;0;0;0;0;"27/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,20246099811878;47,2795888290849;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";"non";40;6;364;268;322;46;632;NA;22,4;13,0743944644927;12,9543944644927;12,9543944644927;9,45;1,37015998363494;1,37015998363494;1;6,91;6,91;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_500";"TIDM_GEN_GC_500";"Pro’Dij";"2023";"TB";"TB";468,75;66,81875;0;0;43,75;425;0;0;0;22,4375;44,38125;0;6;106,25;43,75;318,75;16,7677631578947;9,16828007518798;40,8827067669173;0;0;6,25;100;2,5;0,57;0,36;0;0;0;412,5;0;0;6,25;6,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43,75;0;0;0;0;0;0;0;0;0;43,0620175438596;0;0;0,68666666666667;0,632565789473682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,4375;0;0;0;0;0;0;"27/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,20498738339323;47,2771876053979;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";"non";36;33;360;227;344;69;587;NA;25,6;18,7452387809753;14,7852387809753;14,7852387809753;9,25;1,59894615411758;1,59894615411758;33;8,13;8,13;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_501";"TIDM_GEN_GC_501";"Pro’Dij";"2023";"TB";"TB";243,75;53,7125;0;0;25;218,75;0;0;0;22,46875;31,24375;0;6;118,75;37,5;87,5;23,5806302521008;7,27542892156863;22,8564408263305;0;0;6,25;112,5;1,75;0,54;0,54;0;0;0;218,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;31,24375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,46875;0;0;0;0;0;0;"27/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,2055135888146;47,2747943438235;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";"non";38;6;363;259;334;44;622;NA;22,6;13,0846965312957;13,0846965312957;13,0846965312957;9,6;1,36301487684249;1,36301487684249;NA;6,9;6,9;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_502";"TIDM_GEN_GC_502";"Pro’Dij";"2023";"TB";"TB";131,25;39,9375;0;0;18,75;112,5;0;0;0;19,2;20,7375;0;6;62,5;37,5;31,25;25,5287946428572;9,41026785714285;4,9984375;0;0;12,5;50;1,75;0,72;0,72;0;0;0;87,5;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,75;0;0;0;0;0;0;0;0;0;15,0232142857143;0;0;0;5,71428571428573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,2;0;0;0;0;0;0;"28/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,21050983299869;47,2754185004088;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";"non";47;296;216;125;316;343;341;NA;50,6;64,2741012573242;29,2341012573242;29,2341012573242;9,66;3,02690148353576;3,02690148353576;292;8,21;8,21;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_503";"TIDM_GEN_GC_503";"Pro’Dij";"2023";"TB";"TB";18,75;3,6875;0;0;6,25;12,5;0;0;0;1,78125;1,90625;0;2;6,25;12,5;0;1,31875;2,36875;0;0;0;0;6,25;0,75;0;NA;0;0;0;12,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,25;0;0;0;0;0;0;0;0;0;1,90625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,78125;0;0;0;0;0;0;"28/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,21210583404264;47,2725816693599;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";"oui";49;215;265;123;348;264;388;NA;45;53,9539623260498;25,9939623260498;25,9939623260498;9,19;2,82855510711669;2,82855510711669;233;8,21;8,21;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_504";"TIDM_GEN_GC_504";"Pro’Dij";"2023";"TB";"TB";68,75;6,55625;0;0;0;68,75;0;0;0;0;6,55625;0;2;12,5;18,75;37,5;1,44375;1,578125;3,534375;0;0;0;12,5;1;0;NA;0;0;0;68,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,55625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"28/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,20696187110195;47,2720012026245;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";"oui";37;80;333;210;340;117;543;NA;23,1;23,0592393875122;13,3392393875122;13,3392393875122;9,1;1,46529451012611;1,46529451012611;81;8,27;8,27;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_505";"TIDM_GEN_GC_505";"Pro’Dij";"2023";"TB";"TB";68,75;10,25;0;0;6,25;62,5;0;0;0;3,83125;6,41875;0;3;6,25;18,75;43,75;0,495535714285715;1,97440476190476;7,78005952380952;0;0;0;6,25;1;0;NA;0;0;0;43,75;0;0;0;18,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,25;0;0;0;0;0;0;0;0;0;4,93214285714286;0;0;0;1,48660714285715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,83125;0;0;0;0;0;0;"27/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,19903893091106;47,278380992203;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";"oui";40;18;353;251;338;58;604;NA;21,3;13,1393802165985;12,2993802165985;12,2993802165985;8,95;1,37367069721221;1,37367069721221;7;7,92;7,92;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
