"var_rep";"RMSE";"R_adj_train";"R_adj_test";"RMSE.1";"delet";"interation"
"BM_tot";3,13;0,29;0,14;3,13;"bio2";1
"BM_tot";3,12;0,29;0,14;3,12;"bio1";2
"BM_tot";3,13;0,29;0,14;3,13;"bio11";3
"BM_tot";3,12;0,29;0,15;3,12;"bio6";4
"BM_tot";3,13;0,29;0,15;3,13;"bio10";5
"BM_tot";3,12;0,29;0,16;3,12;"C";6
"BM_tot";3,14;0,29;0,15;3,14;"bio5";7
"BM_tot";3,12;0,29;0,16;3,12;"elevation";8
"BM_tot";3,13;0,29;0,16;3,13;"bio17";9
"BM_tot";3,12;0,29;0,17;3,12;"bio8";10
"BM_tot";3,12;0,29;0,17;3,12;"bio7";11
"BM_tot";3,12;0,29;0,17;3,12;"bio9";12
"BM_tot";3,12;0,29;0,18;3,12;"bio16";13
"BM_tot";3,11;0,29;0,18;3,11;"bio14";14
"BM_tot";3,12;0,29;0,18;3,12;"bio15";15
"BM_tot";3,12;0,3;0,18;3,12;"cmi_mean";16
"BM_tot";3,12;0,3;0,19;3,12;"bio19";17
"BM_tot";3,13;0,3;0,19;3,13;"bio3";18
"BM_tot";3,13;0,3;0,19;3,13;"pH";19
"BM_tot";3,12;0,3;0,19;3,12;"bio18";20
"BM_tot";3,11;0,3;0,2;3,11;"silt";21
"BM_tot";3,12;0,3;0,2;3,12;"K";22
"BM_tot";3,11;0,3;0,2;3,11;"bio13";23
"BM_tot";3,12;0,3;0,2;3,12;"hurs_mean";24
"BM_tot";3,13;0,3;0,2;3,13;"gdd0";25
"BM_tot";3,13;0,3;0,21;3,13;"PET";26
"BM_tot";3,12;0,31;0,21;3,12;"CN";27
"BM_tot";3,11;0,3;0,22;3,11;"CEC";28
"BM_tot";3,11;0,3;0,22;3,11;"clay";29
"BM_tot";3,12;0,31;0,22;3,12;"bio12";30
"BM_tot";3,14;0,31;0,22;3,14;"N";31
"BM_tot";3,12;0,31;0,22;3,12;"P";32
"BM_tot";3,13;0,31;0,23;3,13;"bio4";33
"BM_tot";3,12;0,31;0,23;3,12;"sand";34
"BM_tot";3,04;0,31;0,24;3,04;"gdd10";35
"BM_tot";3,04;0,3;0,24;3,04;"CaCO3";36
"BM_tot";3,07;0,3;0,23;3,07;"clcm_lvl3";37
"BM_tot";3,07;0,3;0,23;3,07;"clcm_lvl3";38
