"var_rep";"RMSE";"R_adj_train";"R_adj_test";"RMSE.1";"delet";"interation"
"Richesse_tot";1,8;0,54;0,51;1,8;"bio1";1
"Richesse_tot";1,8;0,54;0,51;1,8;"bio2";2
"Richesse_tot";1,8;0,54;0,51;1,8;"bio5";3
"Richesse_tot";1,8;0,54;0,51;1,8;"bio11";4
"Richesse_tot";1,8;0,54;0,51;1,8;"C";5
"Richesse_tot";1,8;0,54;0,52;1,8;"gdd0";6
"Richesse_tot";1,8;0,54;0,52;1,8;"bio8";7
"Richesse_tot";1,79;0,54;0,52;1,79;"bio9";8
"Richesse_tot";1,79;0,54;0,52;1,79;"bio10";9
"Richesse_tot";1,79;0,55;0,52;1,79;"cmi_mean";10
"Richesse_tot";1,79;0,54;0,52;1,79;"bio14";11
"Richesse_tot";1,79;0,54;0,53;1,79;"elevation";12
"Richesse_tot";1,79;0,55;0,53;1,79;"sand";13
"Richesse_tot";1,79;0,55;0,53;1,79;"bio3";14
"Richesse_tot";1,78;0,55;0,53;1,78;"bio6";15
"Richesse_tot";1,79;0,55;0,53;1,79;"bio12";16
"Richesse_tot";1,78;0,55;0,53;1,78;"bio19";17
"Richesse_tot";1,78;0,55;0,53;1,78;"gdd10";18
"Richesse_tot";1,78;0,55;0,53;1,78;"silt";19
"Richesse_tot";1,78;0,55;0,54;1,78;"bio15";20
"Richesse_tot";1,77;0,55;0,54;1,77;"K";21
"Richesse_tot";1,77;0,55;0,54;1,77;"bio17";22
"Richesse_tot";1,78;0,55;0,54;1,78;"clay";23
"Richesse_tot";1,78;0,55;0,54;1,78;"CEC";24
"Richesse_tot";1,78;0,55;0,54;1,78;"CN";25
"Richesse_tot";1,78;0,55;0,54;1,78;"PET";26
"Richesse_tot";1,79;0,55;0,54;1,79;"hurs_mean";27
"Richesse_tot";1,78;0,55;0,54;1,78;"bio16";28
"Richesse_tot";1,78;0,55;0,54;1,78;"N";29
"Richesse_tot";1,79;0,55;0,54;1,79;"pH";30
"Richesse_tot";1,79;0,55;0,54;1,79;"bio7";31
"Richesse_tot";1,79;0,55;0,54;1,79;"P";32
"Richesse_tot";1,79;0,54;0,54;1,79;"bio13";33
"Richesse_tot";1,77;0,54;0,55;1,77;"bio18";34
"Richesse_tot";1,75;0,54;0,56;1,75;"CaCO3";35
"Richesse_tot";1,77;0,54;0,55;1,77;"clcm_lvl3";36
"Richesse_tot";1,77;0,54;0,55;1,77;"clcm_lvl3";37
"Richesse_tot";1,77;0,54;0,55;1,77;"clcm_lvl3";38
