"shrinkage";"n.trees";"interaction.depth";"n.minobsinnode";"rmse";"r_squared";"mae"
0,01;1000;3;2;5,91;0,329026196471467;4,52278176731327
0,01;1500;3;2;5,86;0,338930941082636;4,46762889541938
0,01;1700;3;2;5,85;0,340706688130553;4,46648953481732
0,01;2000;3;2;5,86;0,338168409256775;4,48137744019445
0,01;3000;3;2;5,82;0,347815299666609;4,45595156805148
0,02;1000;3;2;5,84;0,34270594660988;4,46937104961868
0,02;1500;3;2;5,8;0,351339855582445;4,44770139274808
0,02;1700;3;2;5,77;0,359719718509683;4,43554059180382
0,02;2000;3;2;5,8;0,350720262154401;4,44760685952739
0,02;3000;3;2;5,81;0,349348146913451;4,44416677711052
0,05;1000;3;2;5,84;0,34442618969529;4,48786102558829
0,05;1500;3;2;5,9;0,332799357901323;4,51972127859408
0,05;1700;3;2;5,9;0,334367938775293;4,54539758960362
0,05;2000;3;2;5,9;0,335804675928918;4,54424406042193
0,05;3000;3;2;5,94;0,330516983331516;4,53943559711028
0,001;1000;3;2;6,44;0,269346858390891;4,97740302637872
0,001;1500;3;2;6,29;0,280056597314999;4,85328433436083
0,001;1700;3;2;6,25;0,283976215535387;4,82187690812156
0,001;2000;3;2;6,2;0,288536795217633;4,77792555539513
0,001;3000;3;2;6,1;0,298556743933077;4,69320712969503
0,002;1000;3;2;6,2;0,289298021038024;4,77634871807318
0,002;1500;3;2;6,1;0,299253867781506;4,69184797842239
0,002;1700;3;2;6,08;0,301718790246116;4,67167153817456
0,002;2000;3;2;6,04;0,306852091463898;4,64490790927004
0,002;3000;3;2;5,98;0,316318724669114;4,583285852723
0,005;1000;3;2;6,01;0,310835030166153;4,61759987370487
0,005;1500;3;2;5,95;0,320610957755812;4,55933311558129
0,005;1700;3;2;5,93;0,324390146169877;4,54078339128346
0,005;2000;3;2;5,91;0,327720538649252;4,51925111384095
0,005;3000;3;2;5,87;0,336968974902007;4,48458222506558
0,01;1000;5;2;5,82;0,349414399527564;4,44667975428343
0,01;1500;5;2;5,78;0,355188614689322;4,42082571314153
0,01;1700;5;2;5,76;0,359951337502882;4,41192195402602
0,01;2000;5;2;5,76;0,36116251844847;4,40691512085884
0,01;3000;5;2;5,78;0,355854041304874;4,41275335120589
0,02;1000;5;2;5,76;0,359844018184071;4,40265948554924
0,02;1500;5;2;5,76;0,359956765557383;4,39617663733067
0,02;1700;5;2;5,77;0,358631953759852;4,40110864806172
0,02;2000;5;2;5,77;0,358715908947405;4,40648060581748
0,02;3000;5;2;5,81;0,352372030277092;4,42383074461086
0,05;1000;5;2;5,94;0,325829248192648;4,50145887728728
0,05;1500;5;2;5,87;0,340751573523433;4,46462687147473
0,05;1700;5;2;5,96;0,326921262040121;4,53396871275994
0,05;2000;5;2;5,94;0,335008595777086;4,54535380805658
0,05;3000;5;2;5,97;0,330743222841145;4,53385092668778
0,001;1000;5;2;6,33;0,295706067386622;4,87758026816646
0,001;1500;5;2;6,17;0,305961419323885;4,74975630507275
0,001;1700;5;2;6,13;0,309857828177856;4,7149054782096
0,001;2000;5;2;6,09;0,311176042182574;4,67729987709562
0,001;3000;5;2;5,99;0,322202587389876;4,59227887594541
0,002;1000;5;2;6,08;0,313778344551005;4,67488352408725
0,002;1500;5;2;5,99;0,320376722018049;4,59430862409449
0,002;1700;5;2;5,96;0,324902688587172;4,57024403856257
0,002;2000;5;2;5,93;0,329783412279369;4,54256442233969
