"shrinkage";"n.trees";"interaction.depth";"n.minobsinnode";"rmse";"r_squared";"mae"
0,01;1000;3;2;3,47;0,280060985500936;2,70531429938278
0,01;1500;3;2;3,47;0,282321896441287;2,68874943294532
0,01;1700;3;2;3,46;0,284723121259512;2,69731962627017
0,01;2000;3;2;3,46;0,287929534765058;2,68849497574037
0,01;3000;3;2;3,48;0,276846048828739;2,70994706230393
0,02;1000;3;2;3,46;0,284215804158221;2,6934630153472
0,02;1500;3;2;3,5;0,27101743245581;2,71042872368292
0,02;1700;3;2;3,51;0,269887483112214;2,72756157249748
0,02;2000;3;2;3,51;0,270090126548244;2,72163257906438
0,02;3000;3;2;3,54;0,261094476230005;2,74514243703778
0,05;1000;3;2;3,52;0,269122268248231;2,71945214408985
0,05;1500;3;2;3,59;0,249169313096024;2,77445267972986
0,05;1700;3;2;3,65;0,232651903130493;2,81025632989103
0,05;2000;3;2;3,59;0,248118272465412;2,79858219651526
0,05;3000;3;2;3,61;0,24992174825187;2,80539581830176
0,001;1000;3;2;3,67;0,242712897922588;2,84727180527365
0,001;1500;3;2;3,61;0,247829923790891;2,80495210137444
0,001;1700;3;2;3,6;0,248321143225821;2,79505158539692
0,001;2000;3;2;3,58;0,254158595199907;2,77695496965918
0,001;3000;3;2;3,54;0,258396160879419;2,75313101051223
0,002;1000;3;2;3,58;0,251218987020415;2,77912103213877
0,002;1500;3;2;3,54;0,26012468924563;2,75394547400167
0,002;1700;3;2;3,53;0,2602095243988;2,74857509815431
0,002;2000;3;2;3,52;0,263933990547616;2,73832510063208
0,002;3000;3;2;3,49;0,272532118899968;2,71492195070639
0,005;1000;3;2;3,49;0,274289191231202;2,71146048252449
0,005;1500;3;2;3,47;0,278731756299559;2,70200455026453
0,005;1700;3;2;3,48;0,27715049248675;2,70768089466867
0,005;2000;3;2;3,47;0,279146556460736;2,70397415258738
0,005;3000;3;2;3,45;0,286423914469921;2,68706766692814
0,01;1000;5;2;3,45;0,286638876781965;2,68191313647267
0,01;1500;5;2;3,47;0,2816660337013;2,69397135847334
0,01;1700;5;2;3,46;0,285633364724884;2,68660137701821
0,01;2000;5;2;3,49;0,27501523640905;2,70178827387712
0,01;3000;5;2;3,49;0,275924485309997;2,70050715770947
0,02;1000;5;2;3,47;0,281415387912105;2,68680016408125
0,02;1500;5;2;3,54;0,261563679916734;2,74057852616131
0,02;1700;5;2;3,51;0,268446719565965;2,73529200373715
0,02;2000;5;2;3,53;0,265734790860613;2,72912355471646
0,02;3000;5;2;3,56;0,257182947555451;2,7536738996828
0,05;1000;5;2;3,6;0,241637952308267;2,79416108072642
0,05;1500;5;2;3,59;0,246413171871747;2,76746744322514
0,05;1700;5;2;3,61;0,246976327072993;2,82941042899344
0,05;2000;5;2;3,69;0,220073924783216;2,86127656908712
0,05;3000;5;2;3,65;0,238236668274144;2,84016799420016
0,001;1000;5;2;3,63;0,259004732122008;2,81827316844213
0,001;1500;5;2;3,57;0,262923697793776;2,76728012323451
0,001;1700;5;2;3,56;0,263645759557894;2,75719434629526
0,001;2000;5;2;3,53;0,268052085219511;2,74099925424116
0,001;3000;5;2;3,5;0,273577900985192;2,71556768007453
0,002;1000;5;2;3,54;0,266318938598222;2,74449491465332
0,002;1500;5;2;3,5;0,272964372413015;2,7125088398817
0,002;1700;5;2;3,49;0,274350189577538;2,70995327545281
0,002;2000;5;2;3,49;0,274495178905056;2,70750377110298
0,002;3000;5;2;3,46;0,285225368717312;2,68973237679412
0,005;1000;5;2;3,45;0,287663694942093;2,68516991234401
0,005;1500;5;2;3,47;0,27997915913539;2,69662021459285
0,005;1700;5;2;3,45;0,287349146647057;2,68820747725139
0,005;2000;5;2;3,47;0,281887337328776;2,6905397752068
0,005;3000;5;2;3,45;0,287750039896958;2,68220010423135
0,01;1000;6;2;3,46;0,283461146943051;2,68793024491009
0,01;1500;6;2;3,47;0,283468670706839;2,6867998139187
0,01;1700;6;2;3,49;0,2749043147313;2,70933858979308
0,01;2000;6;2;3,49;0,273892204770211;2,70858907178914
0,01;3000;6;2;3,51;0,270229988425943;2,72825061400684
0,02;1000;6;2;3,46;0,287267364091346;2,69426116810543
0,02;1500;6;2;3,52;0,269606855777331;2,7247198250564
0,02;1700;6;2;3,53;0,265017593004278;2,75739293976435
0,02;2000;6;2;3,59;0,248680977521302;2,7998229768564
0,02;3000;6;2;3,57;0,25321401296625;2,76058283900891
0,05;1000;6;2;3,64;0,23080389371936;2,84539574190639
0,05;1500;6;2;3,68;0,228372784644185;2,8501598072583
0,05;1700;6;2;3,65;0,232904797484561;2,85456783642433
0,05;2000;6;2;3,67;0,232600501422977;2,85565157391981
0,05;3000;6;2;3,58;0,255197545076286;2,78863996386328
0,001;1000;6;2;3,62;0,262737874339329;2,81027740407579
0,001;1500;6;2;3,55;0,269040591829766;2,7531484151963
0,001;1700;6;2;3,54;0,271453525153385;2,73979619517745
0,001;2000;6;2;3,52;0,273674262796937;2,72627315322324
0,001;3000;6;2;3,49;0,277672647646568;2,70440345579217
0,002;1000;6;2;3,52;0,272429109519191;2,73034953863027
0,002;1500;6;2;3,49;0,277525201538517;2,70662545423316
0,002;1700;6;2;3,48;0,277761861399245;2,70703877490969
0,002;2000;6;2;3,47;0,281554037425639;2,69006501819357
0,002;3000;6;2;3,46;0,285129660735281;2,6904235838675
0,005;1000;6;2;3,48;0,276172593061104;2,70611188956543
0,005;1500;6;2;3,46;0,284912328903409;2,68642486793739
0,005;1700;6;2;3,47;0,28067909584068;2,69905721501496
0,005;2000;6;2;3,46;0,283904682969239;2,68264191026937
0,005;3000;6;2;3,47;0,282277122355124;2,68590357758075
0,01;1000;8;2;3,48;0,277084534585259;2,69838063449435
0,01;1500;8;2;3,5;0,274024389392217;2,71768984816546
0,01;1700;8;2;3,5;0,272136967386043;2,71205277664943
0,01;2000;8;2;3,51;0,267277297082044;2,72694414519914
0,01;3000;8;2;3,55;0,259999656764149;2,75364269070737
0,02;1000;8;2;3,5;0,27440900173515;2,70380383270628
0,02;1500;8;2;3,57;0,248556375534602;2,76336642752466
0,02;1700;8;2;3,55;0,259633568396059;2,7879799882646
0,02;2000;8;2;3,61;0,244750931976462;2,79230250018888
0,02;3000;8;2;3,62;0,239159872749003;2,79735647270133
0,05;1000;8;2;3,7;0,217655721306568;2,85999381621509
0,05;1500;8;2;3,76;0,209387640141953;2,93766838557079
0,05;1700;8;2;3,63;0,242245662644204;2,84317248567294
0,05;2000;8;2;3,73;0,207329720659765;2,89728884440878
0,05;3000;8;2;3,86;0,173927319171559;3,00616691869916
0,001;1000;8;2;3,6;0,269831712221806;2,79162929246587
0,001;1500;8;2;3,54;0,273755047486346;2,73874996730998
0,001;1700;8;2;3,52;0,274054038370986;2,72818738220532
0,001;2000;8;2;3,5;0,278213652751115;2,71003239553423
0,001;3000;8;2;3,48;0,278848656284621;2,69570277252973
0,002;1000;8;2;3,51;0,275420996421492;2,71471844360273
0,002;1500;8;2;3,47;0,281192344127015;2,69927114236703
0,002;1700;8;2;3,47;0,283363001354778;2,69014520449575
0,002;2000;8;2;3,46;0,286788251500202;2,68304604610833
0,002;3000;8;2;3,46;0,283723030368123;2,69073163740018
0,005;1000;8;2;3,45;0,287871338641092;2,68409083014883
0,005;1500;8;2;3,45;0,288942364332797;2,6790809574478
0,005;1700;8;2;3,45;0,288759115273646;2,67523381925496
0,005;2000;8;2;3,46;0,284186866801151;2,68995513807897
0,005;3000;8;2;3,48;0,281494142024104;2,69245951684891
0,01;1000;10;2;3,47;0,281790727826514;2,68641181866326
0,01;1500;10;2;3,52;0,268611991625919;2,72133694612203
0,01;1700;10;2;3,51;0,272703067875243;2,72288945532857
0,01;2000;10;2;3,53;0,264014476511255;2,74323327974083
0,01;3000;10;2;3,55;0,261605111136922;2,76117030019245
0,02;1000;10;2;3,54;0,263410614194638;2,73369777254578
0,02;1500;10;2;3,56;0,25708642746799;2,75379154718901
0,02;1700;10;2;3,57;0,253862140640274;2,77357578822865
0,02;2000;10;2;3,57;0,251519568329934;2,76525331149957
0,02;3000;10;2;3,63;0,245071339865837;2,819565899183
0,05;1000;10;2;3,73;0,216718890869213;2,83487709600565
0,05;1500;10;2;3,66;0,233208395377971;2,84988822381469
0,05;1700;10;2;3,71;0,216745834203125;2,85308111961959
0,05;2000;10;2;3,77;0,202681164904778;2,91189627659396
0,05;3000;10;2;3,85;0,189684658722863;3,01575502900064
0,001;1000;10;2;3,59;0,27263132288375;2,77990227488628
0,001;1500;10;2;3,53;0,275640260606747;2,73194370700393
0,001;1700;10;2;3,51;0,278610985412886;2,71445552374257
0,001;2000;10;2;3,49;0,278707847302501;2,70749895273299
0,001;3000;10;2;3,47;0,282682261830845;2,68933594267104
0,002;1000;10;2;3,49;0,279230865196708;2,70859329636427
0,002;1500;10;2;3,46;0,286416577037384;2,68174273299236
0,002;1700;10;2;3,46;0,283723168111862;2,68409343083178
0,002;2000;10;2;3,46;0,285247105937689;2,68745659388634
0,002;3000;10;2;3,46;0,284593434686068;2,68443534612876
0,005;1000;10;2;3,46;0,285474147725081;2,68288047512792
0,005;1500;10;2;3,46;0,286175075218145;2,67409320552126
0,005;1700;10;2;3,48;0,278027196532154;2,69386493408487
0,005;2000;10;2;3,47;0,283517741806791;2,68230034494044
0,005;3000;10;2;3,49;0,276174441407121;2,7113128241988
0,01;1000;3;5;3,47;0,280196731562844;2,69401166331563
0,01;1500;3;5;3,45;0,288600643149555;2,67092584781948
0,01;1700;3;5;3,45;0,286615402765427;2,6734616465515
0,01;2000;3;5;3,47;0,282389441778928;2,68614435571218
0,01;3000;3;5;3,47;0,283056073603905;2,68900772403515
0,02;1000;3;5;3,45;0,287251583193099;2,68156394255344
0,02;1500;3;5;3,45;0,287095062237748;2,67190459404575
