"mtry";"ntree";"maxnodes";"rmse";"r_squared";"mae"
2;100;10;3,70519832272569;0,218587312818344;2,85072789775482
2;300;10;3,69832471332643;0,224991335556616;2,84480486288484
2;500;10;3,70424978240098;0,223350736956487;2,85129115188679
2;700;10;3,71171590030061;0,220393853065044;2,85422446383488
2;900;10;3,72005853692276;0,215609459516584;2,85886628915652
2;1000;10;3,71153521797494;0,218012569171558;2,85592082227053
2;1300;10;3,71202985458955;0,218167789794241;2,85818753719422
2;1500;10;3,71262062795219;0,218675751682234;2,85608359904861
2;1700;10;3,71018728660696;0,220540486794189;2,85612693053804
2;2000;10;3,7097870512973;0,219860973848919;2,85599029125606
4;100;10;3,62402263101494;0,241838934345685;2,80554307939807
4;300;10;3,62527536375356;0,24103772036783;2,80247594270485
4;500;10;3,63768757818373;0,23737598779803;2,80479984073279
4;700;10;3,63758267691833;0,234332257311122;2,80661813658484
4;900;10;3,63442217380223;0,236056177191861;2,80424773634501
4;1000;10;3,63039918261984;0,238955302780593;2,8028863500319
4;1300;10;3,63458998385662;0,237704524709348;2,80578040640249
4;1500;10;3,62561472597447;0,240216242377814;2,79733992405478
4;1700;10;3,63025925236245;0,238660505676668;2,80339787886493
4;2000;10;3,63243909715682;0,238712873601322;2,80332027973514
6;100;10;3,59081977707397;0,24592908078385;2,77208058683371
6;300;10;3,59467435955968;0,242880428962994;2,77787249850622
6;500;10;3,58723082781977;0,246557016629346;2,76748479091765
6;700;10;3,590487815936;0,246323797975524;2,77794631849704
6;900;10;3,59421210037537;0,244663535002249;2,77483286785886
6;1000;10;3,58916550737884;0,246723603650305;2,77267779370107
6;1300;10;3,58824294145027;0,24668031395225;2,77362709372887
6;1500;10;3,58769127557485;0,246248229561527;2,77339063030289
6;1700;10;3,58944240264866;0,24677046723486;2,77494854340076
6;2000;10;3,58726098249153;0,247262146095034;2,7716903367918
8;100;10;3,57566349594375;0,246992651858603;2,7652131598326
8;300;10;3,57559227425372;0,24561284885627;2,76591180099664
8;500;10;3,56622877697109;0,249408801703729;2,75656300454864
8;700;10;3,56517318726897;0,251013411579364;2,75621279113522
8;900;10;3,56627939444868;0,250050029108356;2,75671571934235
8;1000;10;3,56820218226413;0,24934122131963;2,76004663658004
8;1300;10;3,5663593988524;0,249531387665725;2,75752351664663
8;1500;10;3,56719128875709;0,249610927645689;2,75827606797907
8;1700;10;3,56837004798545;0,249438088078139;2,75842824237159
8;2000;10;3,56743644539798;0,248720488973244;2,75648974322883
10;100;10;3,56827286872672;0,245134992670415;2,76014267767547
10;300;10;3,56002864267703;0,247361413471912;2,75561177476668
10;500;10;3,55660966899799;0,248788149452451;2,75391767580301
10;700;10;3,55341738576467;0,250713832108817;2,74999847777824
10;900;10;3,55655038893091;0,248436783584416;2,75147659281154
10;1000;10;3,56036180189794;0,247844964347964;2,75063060457011
10;1300;10;3,55297053708083;0,250731952087945;2,74761170805581
10;1500;10;3,55789073577695;0,24864135200065;2,74945986894616
10;1700;10;3,55769007192441;0,249072229296026;2,75027572724162
10;2000;10;3,55558681806236;0,249623057020375;2,75199754912431
12;100;10;3,54860188349794;0,250394186292343;2,73873429746098
12;300;10;3,54793089201043;0,251009569344172;2,74097396675271
12;500;10;3,55075929089163;0,248336970865524;2,74725299394037
12;700;10;3,54677189641465;0,251375855871166;2,74432194274745
12;900;10;3,55196886678293;0,248072431226273;2,74719883566771
12;1000;10;3,54887597994599;0,24947559976305;2,7445829318497
12;1300;10;3,55235546754284;0,247916927161551;2,74533335039315
12;1500;10;3,55083646551073;0,248796347716845;2,74727688621541
12;1700;10;3,55012723604014;0,24920265332267;2,74666256977337
12;2000;10;3,55050408130809;0,249168759574968;2,74515429577512
14;100;10;3,56426895145311;0,240959434156573;2,75660322254507
14;300;10;3,54807537615339;0,248351652817334;2,74476931511031
14;500;10;3,55041850776832;0,247026384199239;2,74584427402342
14;700;10;3,54309763484119;0,251055899518954;2,73921544512472
14;900;10;3,54086301598879;0,251663390440466;2,7383185380091
14;1000;10;3,54401663330479;0,250108926571824;2,74066093818308
14;1300;10;3,54628372383671;0,249228413489974;2,74144815943926
14;1500;10;3,5455962318723;0,249736462040928;2,74402164258375
14;1700;10;3,54828305593228;0,248249914970943;2,74336594359959
14;2000;10;3,54726992598235;0,248664288911522;2,74310536573573
16;100;10;3,54456671613079;0,250097331307579;2,74575831655589
16;300;10;3,54908560965519;0,24639422329678;2,74179491080984
16;500;10;3,54249629028164;0,249751907784646;2,73759831840457
16;700;10;3,54404932601698;0,24937544842738;2,7380655446914
16;900;10;3,54432722041203;0,24939915719823;2,74031207991881
16;1000;10;3,54455731870334;0,248551459897132;2,74228829383844
16;1300;10;3,54585089029664;0,248387532351047;2,74123388540435
16;1500;10;3,54861834975964;0,246718764917714;2,74480339948619
16;1700;10;3,54758274180793;0,247650981011543;2,74201456141843
16;2000;10;3,54551641852068;0,248324344435314;2,73960290723522
18;100;10;3,54596695732018;0,247327422078172;2,73788327822035
18;300;10;3,53946837888701;0,250361606059718;2,73441185049218
18;500;10;3,55158096141598;0,244711027701854;2,74110973052012
18;700;10;3,54933817885708;0,24585957755336;2,74549602398149
18;900;10;3,54966260785435;0,245700029336749;2,74575597067799
18;1000;10;3,54762932949115;0,246883022679671;2,74001505628482
18;1300;10;3,54611627157693;0,247327631377031;2,74371109785331
18;1500;10;3,54411247576742;0,248434039807309;2,74032885829226
18;1700;10;3,54607839055881;0,247488273427554;2,7426363993839
18;2000;10;3,54194317793298;0,249320130954659;2,73801650128434
