"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"ntree";"mtry";"nodesize"
6,168;0,254;0,046;4,994;100;1;5
6,16;0,266;0,05;4,992;300;1;5
6,166;0,268;0,048;4,994;500;1;5
6,16;0,266;0,05;4,992;700;1;5
6,16;0,268;0,05;4,992;900;1;5
6,162;0,268;0,052;4,994;1000;1;5
6,164;0,268;0,048;4,996;1300;1;5
6,164;0,266;0,048;4,996;1500;1;5
6,166;0,266;0,048;4,996;1700;1;5
6,166;0,268;0,052;4,994;2000;1;5
6,148;0,272;0,046;4,978;100;2;5
6,148;0,272;0,05;4,986;300;2;5
6,158;0,28;0,044;4,998;500;2;5
6,16;0,284;0,046;4,996;700;2;5
6,158;0,282;0,044;4,992;900;2;5
6,156;0,282;0,046;4,992;1000;2;5
6,156;0,284;0,046;4,99;1300;2;5
6,154;0,284;0,05;4,99;1500;2;5
6,154;0,284;0,05;4,99;1700;2;5
6,154;0,284;0,048;4,986;2000;2;5
6,178;0,268;0,032;5,006;100;3;5
6,16;0,282;0,042;4,982;300;3;5
6,162;0,284;0,042;4,99;500;3;5
6,158;0,284;0,044;4,988;700;3;5
6,152;0,282;0,044;4,986;900;3;5
6,152;0,282;0,046;4,984;1000;3;5
6,152;0,282;0,048;4,984;1300;3;5
6,154;0,282;0,046;4,984;1500;3;5
6,156;0,282;0,044;4,984;1700;3;5
6,156;0,282;0,046;4,984;2000;3;5
6,18;0,274;0,034;5,01;100;4;5
6,168;0,284;0,038;5;300;4;5
6,168;0,286;0,04;4,998;500;4;5
6,164;0,284;0,044;4,99;700;4;5
6,158;0,284;0,044;4,984;900;4;5
6,158;0,284;0,044;4,984;1000;4;5
6,156;0,284;0,044;4,984;1300;4;5
6,156;0,282;0,044;4,984;1500;4;5
6,156;0,282;0,044;4,988;1700;4;5
6,16;0,284;0,044;4,984;2000;4;5
6,166;0,276;0,04;5,006;100;5;5
6,154;0,284;0,044;4,996;300;5;5
6,162;0,286;0,04;4,998;500;5;5
6,164;0,284;0,038;4,996;700;5;5
6,162;0,286;0,038;4,994;900;5;5
6,162;0,286;0,038;4,99;1000;5;5
6,158;0,284;0,04;4,99;1300;5;5
6,162;0,284;0,04;4,992;1500;5;5
6,16;0,284;0,04;4,992;1700;5;5
6,158;0,286;0,042;4,99;2000;5;5
6,152;0,264;0,042;4,99;100;6;5
6,164;0,278;0,04;4,996;300;6;5
6,166;0,28;0,044;4,99;500;6;5
6,17;0,28;0,038;5,002;700;6;5
6,164;0,282;0,042;4,992;900;6;5
6,16;0,28;0,044;4,992;1000;6;5
6,16;0,282;0,04;4,99;1300;6;5
6,162;0,282;0,04;4,99;1500;6;5
6,16;0,284;0,042;4,99;1700;6;5
6,16;0,284;0,04;4,988;2000;6;5
6,162;0,274;0,042;4,998;100;7;5
6,156;0,286;0,046;4,99;300;7;5
6,16;0,284;0,042;4,992;500;7;5
6,16;0,284;0,042;4,994;700;7;5
6,16;0,284;0,04;4,988;900;7;5
6,164;0,284;0,042;4,99;1000;7;5
6,162;0,284;0,042;4,994;1300;7;5
6,16;0,284;0,042;4,992;1500;7;5
6,162;0,286;0,044;4,992;1700;7;5
6,162;0,286;0,04;4,992;2000;7;5
6,15;0,274;0,044;4,986;100;8;5
6,158;0,284;0,042;4,992;300;8;5
6,164;0,284;0,044;4,994;500;8;5
6,158;0,284;0,042;4,988;700;8;5
6,158;0,284;0,042;4,986;900;8;5
6,162;0,284;0,044;4,99;1000;8;5
6,164;0,284;0,042;4,99;1300;8;5
6,16;0,284;0,044;4,988;1500;8;5
6,162;0,284;0,042;4,988;1700;8;5
6,162;0,286;0,04;4,988;2000;8;5
6,172;0,278;0,036;5,002;100;9;5
6,162;0,282;0,042;4,99;300;9;5
6,162;0,284;0,042;4,992;500;9;5
6,162;0,282;0,042;4,99;700;9;5
6,158;0,282;0,042;4,986;900;9;5
6,158;0,282;0,042;4,99;1000;9;5
6,16;0,282;0,042;4,986;1300;9;5
6,16;0,282;0,042;4,988;1500;9;5
6,16;0,282;0,042;4,99;1700;9;5
6,162;0,282;0,042;4,988;2000;9;5
6,108;0,388;0,066;4,942;100;1;10
6,098;0,402;0,076;4,93;300;1;10
6,102;0,404;0,072;4,932;500;1;10
6,1;0,404;0,07;4,926;700;1;10
6,102;0,402;0,072;4,928;900;1;10
6,104;0,404;0,072;4,93;1000;1;10
6,108;0,404;0,068;4,934;1300;1;10
6,108;0,402;0,068;4,932;1500;1;10
6,106;0,404;0,068;4,934;1700;1;10
6,106;0,404;0,068;4,932;2000;1;10
6,112;0,4;0,06;4,936;100;2;10
6,102;0,42;0,066;4,924;300;2;10
6,098;0,418;0,064;4,926;500;2;10
6,1;0,418;0,064;4,928;700;2;10
6,1;0,42;0,062;4,924;900;2;10
6,098;0,418;0,064;4,922;1000;2;10
6,096;0,418;0,066;4,922;1300;2;10
6,098;0,418;0,066;4,922;1500;2;10
