"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"n.trees";"shrinkage";"interaction.depth";"n.minobsinnode"
3,02;0,492;0,062;2,424;500;0,01;3;2
3,094;0,654;0,058;2,466;1000;0,01;3;2
3,144;0,748;0,054;2,506;1500;0,01;3;2
3,164;0,776;0,052;2,52;1700;0,01;3;2
3,184;0,814;0,052;2,536;2000;0,01;3;2
3,26;0,89;0,048;2,596;3000;0,01;3;2
3,092;0,646;0,056;2,47;500;0,02;3;2
3,194;0,808;0,048;2,544;1000;0,02;3;2
3,264;0,886;0,044;2,606;1500;0,02;3;2
3,292;0,904;0,044;2,63;1700;0,02;3;2
3,33;0,926;0,038;2,656;2000;0,02;3;2
3,404;0,97;0,034;2,72;3000;0,02;3;2
3,262;0,842;0,038;2,622;500;0,05;3;2
3,372;0,948;0,034;2,71;1000;0,05;3;2
3,43;0,98;0,032;2,75;1500;0,05;3;2
3,446;0,988;0,03;2,764;1700;0,05;3;2
3,468;0,99;0,028;2,784;2000;0,05;3;2
3,51;1;0,026;2,82;3000;0,05;3;2
3,022;0,258;0,062;2,478;500;0,001;3;2
2,996;0,296;0,066;2,442;1000;0,001;3;2
2,988;0,328;0,07;2,428;1500;0,001;3;2
2,988;0,338;0,068;2,426;1700;0,001;3;2
2,988;0,354;0,066;2,422;2000;0,001;3;2
2,992;0,412;0,07;2,416;3000;0,001;3;2
2,998;0,29;0,068;2,442;500;0,002;3;2
2,982;0,358;0,072;2,418;1000;0,002;3;2
2,986;0,41;0,07;2,414;1500;0,002;3;2
2,99;0,432;0,068;2,416;1700;0,002;3;2
2,996;0,458;0,068;2,412;2000;0,002;3;2
3,018;0,542;0,068;2,418;3000;0,002;3;2
2,984;0,378;0,07;2,416;500;0,005;3;2
3,006;0,502;0,068;2,414;1000;0,005;3;2
3,038;0,59;0,068;2,426;1500;0,005;3;2
3,048;0,618;0,064;2,434;1700;0,005;3;2
3,07;0,658;0,064;2,446;2000;0,005;3;2
3,12;0,75;0,06;2,482;3000;0,005;3;2
3,03;0,664;0,07;2,422;500;0,01;5;2
3,11;0,824;0,062;2,476;1000;0,01;5;2
3,176;0,894;0,058;2,528;1500;0,01;5;2
3,2;0,914;0,052;2,55;1700;0,01;5;2
3,224;0,934;0,048;2,572;2000;0,01;5;2
3,29;0,97;0,046;2,622;3000;0,01;5;2
3,122;0,814;0,056;2,488;500;0,02;5;2
3,224;0,93;0,048;2,57;1000;0,02;5;2
3,282;0,97;0,044;2,622;1500;0,02;5;2
3,304;0,98;0,038;2,642;1700;0,02;5;2
3,32;0,99;0,038;2,656;2000;0,02;5;2
3,364;1;0,034;2,69;3000;0,02;5;2
3,272;0,952;0,042;2,638;500;0,05;5;2
3,348;0,99;0,034;2,698;1000;0,05;5;2
3,374;1;0,032;2,718;1500;0,05;5;2
3,38;1;0,032;2,724;1700;0,05;5;2
3,386;1;0,032;2,728;2000;0,05;5;2
3,394;1;0,03;2,734;3000;0,05;5;2
3,012;0,368;0,07;2,466;500;0,001;5;2
2,988;0,416;0,074;2,432;1000;0,001;5;2
2,984;0,458;0,072;2,418;1500;0,001;5;2
2,982;0,47;0,072;2,418;1700;0,001;5;2
2,986;0,496;0,074;2,414;2000;0,001;5;2
2,998;0,568;0,072;2,406;3000;0,001;5;2
2,988;0,412;0,072;2,432;500;0,002;5;2
2,978;0,5;0,074;2,408;1000;0,002;5;2
2,992;0,568;0,07;2,402;1500;0,002;5;2
2,996;0,59;0,07;2,404;1700;0,002;5;2
3,008;0,628;0,07;2,408;2000;0,002;5;2
3,042;0,716;0,07;2,422;3000;0,002;5;2
2,988;0,528;0,074;2,406;500;0,005;5;2
3,03;0,672;0,07;2,424;1000;0,005;5;2
3,08;0,764;0,066;2,452;1500;0,005;5;2
3,088;0,788;0,064;2,46;1700;0,005;5;2
3,112;0,826;0,062;2,48;2000;0,005;5;2
3,176;0,896;0,056;2,53;3000;0,005;5;2
3,052;0,724;0,066;2,434;500;0,01;6;2
3,124;0,866;0,062;2,488;1000;0,01;6;2
3,194;0,926;0,054;2,54;1500;0,01;6;2
3,22;0,94;0,052;2,564;1700;0,01;6;2
3,246;0,96;0,048;2,586;2000;0,01;6;2
3,298;0,982;0,046;2,628;3000;0,01;6;2
3,142;0,864;0,056;2,506;500;0,02;6;2
3,246;0,958;0,046;2,58;1000;0,02;6;2
3,3;0,982;0,042;2,626;1500;0,02;6;2
3,31;0,99;0,04;2,634;1700;0,02;6;2
3,328;0,99;0,038;2,648;2000;0,02;6;2
3,358;1;0,038;2,674;3000;0,02;6;2
3,33;0,97;0,03;2,674;500;0,05;6;2
3,39;1;0,026;2,724;1000;0,05;6;2
3,402;1;0,026;2,736;1500;0,05;6;2
3,406;1;0,026;2,736;1700;0,05;6;2
3,406;1;0,026;2,736;2000;0,05;6;2
3,41;1;0,026;2,74;3000;0,05;6;2
3,01;0,416;0,068;2,46;500;0,001;6;2
2,988;0,468;0,072;2,428;1000;0,001;6;2
2,984;0,51;0,07;2,416;1500;0,001;6;2
2,984;0,528;0,072;2,412;1700;0,001;6;2
2,982;0,55;0,072;2,41;2000;0,001;6;2
2,998;0,626;0,072;2,408;3000;0,001;6;2
2,986;0,466;0,072;2,43;500;0,002;6;2
2,978;0,554;0,076;2,402;1000;0,002;6;2
2,994;0,628;0,072;2,402;1500;0,002;6;2
3,002;0,652;0,072;2,404;1700;0,002;6;2
3,016;0,682;0,07;2,406;2000;0,002;6;2
3,054;0,772;0,07;2,428;3000;0,002;6;2
2,99;0,584;0,072;2,41;500;0,005;6;2
3,04;0,732;0,068;2,422;1000;0,005;6;2
3,09;0,816;0,062;2,456;1500;0,005;6;2
3,104;0,836;0,064;2,468;1700;0,005;6;2
3,13;0,866;0,058;2,488;2000;0,005;6;2
3,196;0,928;0,05;2,546;3000;0,005;6;2
3,074;0,806;0,06;2,448;500;0,01;8;2
3,172;0,922;0,052;2,52;1000;0,01;8;2
3,224;0,964;0,048;2,562;1500;0,01;8;2
3,244;0,97;0,048;2,578;1700;0,01;8;2
3,266;0,98;0,044;2,6;2000;0,01;8;2
3,308;1;0,038;2,634;3000;0,01;8;2
3,184;0,918;0,052;2,542;500;0,02;8;2
3,274;0,98;0,042;2,608;1000;0,02;8;2
3,316;0,998;0,038;2,642;1500;0,02;8;2
3,324;1;0,036;2,648;1700;0,02;8;2
3,334;1;0,036;2,654;2000;0,02;8;2
