"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"ntree";"mtry";"nodesize"
3,026;0,258;0,054;2,472;100;1;5
3,02;0,272;0,06;2,466;300;1;5
3,02;0,28;0,064;2,468;500;1;5
3,02;0,284;0,066;2,46;700;1;5
3,02;0,286;0,07;2,46;900;1;5
3,016;0,286;0,07;2,462;1000;1;5
3,018;0,282;0,07;2,462;1300;1;5
3,018;0,284;0,072;2,462;1500;1;5
3,018;0,282;0,072;2,462;1700;1;5
3,018;0,284;0,072;2,46;2000;1;5
3,014;0,256;0,056;2,452;100;2;5
3,008;0,27;0,062;2,446;300;2;5
3,006;0,274;0,066;2,446;500;2;5
3,006;0,276;0,066;2,448;700;2;5
3,006;0,274;0,068;2,444;900;2;5
3,006;0,274;0,068;2,444;1000;2;5
3,006;0,274;0,07;2,444;1300;2;5
3,006;0,27;0,07;2,444;1500;2;5
3,006;0,276;0,07;2,442;1700;2;5
3,006;0,272;0,07;2,444;2000;2;5
2,996;0,26;0,07;2,442;100;3;5
3,006;0,264;0,06;2,446;300;3;5
3,002;0,264;0,064;2,444;500;3;5
3,002;0,266;0,066;2,444;700;3;5
3,002;0,266;0,068;2,444;900;3;5
3,002;0,264;0,068;2,446;1000;3;5
3,002;0,266;0,068;2,442;1300;3;5
3,002;0,266;0,064;2,442;1500;3;5
3,002;0,268;0,066;2,44;1700;3;5
3,002;0,268;0,066;2,442;2000;3;5
3,008;0,248;0,06;2,444;100;4;5
3,008;0,256;0,058;2,446;300;4;5
3,008;0,26;0,06;2,446;500;4;5
3,004;0,262;0,06;2,442;700;4;5
3,006;0,26;0,06;2,442;900;4;5
3,006;0,258;0,062;2,442;1000;4;5
3,004;0,258;0,062;2,442;1300;4;5
3,006;0,262;0,062;2,442;1500;4;5
3,004;0,262;0,062;2,442;1700;4;5
3;0,264;0,064;2,44;2000;4;5
3;0,254;0,062;2,438;100;5;5
3;0,256;0,062;2,442;300;5;5
3,002;0,262;0,058;2,444;500;5;5
3,004;0,262;0,064;2,444;700;5;5
3,002;0,26;0,064;2,444;900;5;5
3,002;0,262;0,064;2,444;1000;5;5
3,002;0,262;0,064;2,442;1300;5;5
3,002;0,26;0,064;2,442;1500;5;5
3,002;0,26;0,064;2,44;1700;5;5
3;0,258;0,064;2,44;2000;5;5
3;0,25;0,062;2,44;100;6;5
3,002;0,258;0,062;2,44;300;6;5
3,002;0,26;0,062;2,44;500;6;5
3,002;0,258;0,062;2,444;700;6;5
3,004;0,258;0,062;2,442;900;6;5
3,002;0,258;0,062;2,44;1000;6;5
3,002;0,258;0,062;2,444;1300;6;5
3,002;0,258;0,06;2,442;1500;6;5
3,002;0,258;0,06;2,44;1700;6;5
3;0,258;0,062;2,44;2000;6;5
3,016;0,244;0,05;2,45;100;7;5
3,012;0,252;0,054;2,45;300;7;5
3,006;0,256;0,056;2,444;500;7;5
3,004;0,258;0,058;2,444;700;7;5
3,004;0,258;0,058;2,442;900;7;5
3,004;0,258;0,06;2,442;1000;7;5
3,006;0,258;0,06;2,442;1300;7;5
3,006;0,258;0,058;2,442;1500;7;5
