"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"n.trees";"shrinkage";"interaction.depth";"n.minobsinnode"
1,078;0,534;0,104;0,826;500;0,01;3;2
1,088;0,688;0,102;0,832;1000;0,01;3;2
1,104;0,778;0,094;0,84;1500;0,01;3;2
1,108;0,806;0,092;0,846;1700;0,01;3;2
1,114;0,836;0,09;0,85;2000;0,01;3;2
1,124;0,904;0,088;0,86;3000;0,01;3;2
1,092;0,688;0,1;0,836;500;0,02;3;2
1,108;0,834;0,094;0,848;1000;0,02;3;2
1,124;0,904;0,09;0,862;1500;0,02;3;2
1,126;0,92;0,09;0,864;1700;0,02;3;2
1,132;0,938;0,092;0,866;2000;0,02;3;2
1,138;0,97;0,092;0,874;3000;0,02;3;2
1,112;0,868;0,098;0,856;500;0,05;3;2
1,132;0,958;0,1;0,874;1000;0,05;3;2
1,136;0,984;0,102;0,88;1500;0,05;3;2
1,136;0,99;0,104;0,884;1700;0,05;3;2
1,142;0,99;0,102;0,886;2000;0,05;3;2
1,144;1;0,104;0,89;3000;0,05;3;2
1,1;0,298;0,064;0,854;500;0,001;3;2
1,092;0,332;0,072;0,844;1000;0,001;3;2
1,084;0,366;0,078;0,838;1500;0,001;3;2
1,082;0,382;0,082;0,838;1700;0,001;3;2
1,082;0,398;0,084;0,836;2000;0,001;3;2
1,08;0,454;0,09;0,834;3000;0,001;3;2
1,09;0,33;0,074;0,846;500;0,002;3;2
1,084;0,398;0,084;0,836;1000;0,002;3;2
1,076;0,452;0,092;0,832;1500;0,002;3;2
1,078;0,472;0,094;0,832;1700;0,002;3;2
1,076;0,5;0,096;0,828;2000;0,002;3;2
1,078;0,582;0,102;0,83;3000;0,002;3;2
1,076;0,422;0,098;0,834;500;0,005;3;2
1,076;0,54;0,102;0,828;1000;0,005;3;2
1,082;0,624;0,104;0,83;1500;0,005;3;2
1,082;0,654;0,1;0,83;1700;0,005;3;2
1,09;0,692;0,1;0,83;2000;0,005;3;2
1,098;0,78;0,098;0,838;3000;0,005;3;2
1,078;0,696;0,108;0,822;500;0,01;5;2
1,094;0,844;0,102;0,832;1000;0,01;5;2
1,11;0,908;0,098;0,842;1500;0,01;5;2
1,11;0,924;0,098;0,846;1700;0,01;5;2
1,116;0,942;0,1;0,848;2000;0,01;5;2
1,122;0,978;0,104;0,858;3000;0,01;5;2
1,09;0,836;0,11;0,832;500;0,02;5;2
1,112;0,942;0,102;0,854;1000;0,02;5;2
1,126;0,974;0,098;0,862;1500;0,02;5;2
