"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"ntree";"mtry";"nodesize"
1,094;0,258;0,086;0,846;100;1;5
1,094;0,272;0,1;0,846;300;1;5
1,092;0,278;0,098;0,846;500;1;5
1,092;0,282;0,096;0,848;700;1;5
1,092;0,28;0,098;0,846;900;1;5
1,092;0,28;0,096;0,848;1000;1;5
1,092;0,28;0,1;0,848;1300;1;5
1,092;0,28;0,1;0,846;1500;1;5
1,092;0,282;0,1;0,846;1700;1;5
1,092;0,286;0,096;0,846;2000;1;5
1,09;0,292;0,09;0,842;100;2;5
1,09;0,302;0,09;0,844;300;2;5
1,088;0,304;0,088;0,846;500;2;5
1,09;0,31;0,092;0,846;700;2;5
1,09;0,308;0,086;0,846;900;2;5
1,088;0,308;0,09;0,846;1000;2;5
1,09;0,308;0,086;0,846;1300;2;5
1,09;0,308;0,088;0,846;1500;2;5
1,09;0,308;0,088;0,846;1700;2;5
1,09;0,306;0,086;0,846;2000;2;5
1,088;0,286;0,076;0,844;100;3;5
1,092;0,302;0,08;0,844;300;3;5
1,088;0,308;0,086;0,844;500;3;5
1,09;0,308;0,08;0,844;700;3;5
1,09;0,31;0,08;0,844;900;3;5
1,09;0,31;0,082;0,844;1000;3;5
1,09;0,31;0,082;0,844;1300;3;5
1,09;0,31;0,08;0,844;1500;3;5
1,09;0,308;0,08;0,844;1700;3;5
1,088;0,31;0,08;0,844;2000;3;5
1,088;0,29;0,086;0,842;100;4;5
1,088;0,302;0,084;0,844;300;4;5
1,09;0,308;0,082;0,846;500;4;5
1,09;0,308;0,078;0,846;700;4;5
1,09;0,31;0,08;0,844;900;4;5
1,09;0,31;0,078;0,844;1000;4;5
1,09;0,31;0,078;0,846;1300;4;5
1,09;0,312;0,076;0,846;1500;4;5
1,09;0,31;0,076;0,846;1700;4;5
1,09;0,31;0,076;0,846;2000;4;5
1,092;0,292;0,064;0,848;100;5;5
1,092;0,3;0,072;0,846;300;5;5
1,092;0,308;0,072;0,846;500;5;5
1,09;0,306;0,072;0,846;700;5;5
1,09;0,306;0,072;0,846;900;5;5
1,088;0,306;0,072;0,846;1000;5;5
1,086;0,306;0,074;0,844;1300;5;5
1,088;0,306;0,076;0,846;1500;5;5
1,088;0,306;0,074;0,846;1700;5;5
1,088;0,308;0,076;0,846;2000;5;5
1,088;0,306;0,072;0,842;100;6;5
1,09;0,308;0,07;0,846;300;6;5
1,09;0,308;0,074;0,846;500;6;5
1,09;0,306;0,072;0,844;700;6;5
1,088;0,304;0,072;0,844;900;6;5
1,088;0,306;0,072;0,844;1000;6;5
1,088;0,306;0,072;0,844;1300;6;5
1,088;0,306;0,07;0,844;1500;6;5
1,088;0,306;0,07;0,844;1700;6;5
1,088;0,306;0,07;0,844;2000;6;5
1,092;0,302;0,068;0,848;100;7;5
1,088;0,308;0,068;0,848;300;7;5
1,086;0,306;0,072;0,844;500;7;5
1,086;0,306;0,074;0,844;700;7;5
1,086;0,308;0,072;0,844;900;7;5
1,086;0,308;0,072;0,844;1000;7;5
1,086;0,304;0,07;0,844;1300;7;5
1,086;0,306;0,072;0,844;1500;7;5
1,086;0,306;0,072;0,844;1700;7;5
1,086;0,306;0,07;0,844;2000;7;5
1,088;0,292;0,078;0,844;100;8;5
1,088;0,298;0,068;0,846;300;8;5
1,09;0,304;0,066;0,846;500;8;5
1,088;0,304;0,068;0,844;700;8;5
1,09;0,304;0,068;0,844;900;8;5
1,086;0,304;0,07;0,844;1000;8;5
1,088;0,306;0,07;0,844;1300;8;5
1,088;0,306;0,068;0,844;1500;8;5
1,086;0,306;0,072;0,844;1700;8;5
1,086;0,306;0,07;0,844;2000;8;5
1,094;0,294;0,056;0,852;100;9;5
1,092;0,306;0,062;0,848;300;9;5
1,09;0,308;0,066;0,844;500;9;5
1,086;0,308;0,068;0,844;700;9;5
1,088;0,308;0,068;0,844;900;9;5
1,088;0,308;0,07;0,844;1000;9;5
1,09;0,308;0,07;0,844;1300;9;5
1,09;0,308;0,07;0,844;1500;9;5
1,09;0,308;0,07;0,844;1700;9;5
1,09;0,306;0,07;0,844;2000;9;5
1,088;0,412;0,098;0,84;100;1;10
1,084;0,43;0,11;0,838;300;1;10
1,082;0,436;0,114;0,838;500;1;10
1,082;0,436;0,114;0,836;700;1;10
1,082;0,434;0,114;0,838;900;1;10
1,084;0,434;0,114;0,838;1000;1;10
1,084;0,434;0,116;0,836;1300;1;10
1,084;0,434;0,116;0,834;1500;1;10
1,082;0,432;0,114;0,834;1700;1;10
1,082;0,436;0,116;0,834;2000;1;10
1,078;0,428;0,098;0,836;100;2;10
1,076;0,446;0,106;0,832;300;2;10
1,078;0,446;0,102;0,836;500;2;10
