"run_dir";"metric_loss";"metric_mae";"metric_val_loss";"metric_val_mae";"flag_dense_units1";"flag_dense_units2";"flag_dense_units3";"flag_dense_units4";"flag_dropout1";"flag_dropout2";"flag_dropout3";"flag_dropout4";"flag_batch_size";"epochs";"epochs_completed";"metrics";"model";"loss_function";"optimizer";"learning_rate";"script";"start";"end";"completed";"output";"source_code";"context";"type"
"runs/2024-03-14T15-11-09Z";4,7239;1,6467;7,3597;2,2014;64;32;16;8;0,2;0,3;0,2;0,1;64;50;46;"runs/2024-03-14T15-11-09Z/tfruns.d/metrics.json";"Model: ""sequential""
________________________________________________________________________________
 Layer (type)                       Output Shape                    Param #     
================================================================================
 dense_4 (Dense)                    (None, 64)                      1664        
 dropout_3 (Dropout)                (None, 64)                      0           
 dense_3 (Dense)                    (None, 32)                      2080        
 dropout_2 (Dropout)                (None, 32)                      0           
 dense_2 (Dense)                    (None, 16)                      528         
 dropout_1 (Dropout)                (None, 16)                      0           
 dense_1 (Dense)                    (None, 8)                       136         
 dropout (Dropout)                  (None, 8)                       0           
 dense (Dense)                      (None, 1)                       9           
================================================================================
Total params: 4417 (17.25 KB)
Trainable params: 4417 (17.25 KB)
Non-trainable params: 0 (0.00 Byte)
________________________________________________________________________________";"mse";"<keras.src.optimizers.rmsprop.RMSprop object at 0x7f9dfa7c7d90>";0,00100000004749745;"Experiment.R";2024-03-14 15:11:10.43462;2024-03-14 15:11:23.90128;TRUE;"
> FLAGS <- flags(flag_integer(""dense_units1"", 64), flag_integer(""dense_units2"", 
+     32), flag_integer(""dense_units3"", 16), flag_integer(""dense_unit ..."" ... [TRUNCATED] 

> model <- keras_model_sequential() %>% layer_dense(units = FLAGS$dense_units1, 
+     activation = ""relu"", input_shape = c(25)) %>% layer_dropout(rat .... [TRUNCATED] 

> model %>% compile(loss = ""mse"", optimizer = ""rmsprop"", 
+     metrics = ""mae"")

> mon_callback <- callback_early_stopping(monitor = ""val_mae"", 
+     patience = 10, restore_best_weights = TRUE)

> history <- model %>% fit(training, trainingtarget, 
+     epochs = 50, batch_size = FLAGS$batch_size, validation_split = 0.2, 
+     callbacks = lis .... [TRUNCATED] ";"runs/2024-03-14T15-11-09Z/tfruns.d/source.tar.gz";"local";"training"
"runs/2024-03-14T15-11-01Z";5,2694;1,7574;8,4083;2,351;32;32;16;8;0,2;0,3;0,2;0,1;64;50;25;"runs/2024-03-14T15-11-01Z/tfruns.d/metrics.json";"Model: ""sequential""
________________________________________________________________________________
 Layer (type)                       Output Shape                    Param #     
================================================================================
 dense_4 (Dense)                    (None, 32)                      832         
 dropout_3 (Dropout)                (None, 32)                      0           
 dense_3 (Dense)                    (None, 32)                      1056        
 dropout_2 (Dropout)                (None, 32)                      0           
 dense_2 (Dense)                    (None, 16)                      528         
 dropout_1 (Dropout)                (None, 16)                      0           
 dense_1 (Dense)                    (None, 8)                       136         
 dropout (Dropout)                  (None, 8)                       0           
 dense (Dense)                      (None, 1)                       9           
================================================================================
Total params: 2561 (10.00 KB)
Trainable params: 2561 (10.00 KB)
Non-trainable params: 0 (0.00 Byte)
________________________________________________________________________________";"mse";"<keras.src.optimizers.rmsprop.RMSprop object at 0x7f9dfba49e70>";0,00100000004749745;"Experiment.R";2024-03-14 15:11:02.82614;2024-03-14 15:11:09.61772;TRUE;"
> FLAGS <- flags(flag_integer(""dense_units1"", 64), flag_integer(""dense_units2"", 
+     32), flag_integer(""dense_units3"", 16), flag_integer(""dense_unit ..."" ... [TRUNCATED] 

> model <- keras_model_sequential() %>% layer_dense(units = FLAGS$dense_units1, 
+     activation = ""relu"", input_shape = c(25)) %>% layer_dropout(rat .... [TRUNCATED] 

> model %>% compile(loss = ""mse"", optimizer = ""rmsprop"", 
+     metrics = ""mae"")

> mon_callback <- callback_early_stopping(monitor = ""val_mae"", 
+     patience = 10, restore_best_weights = TRUE)

> history <- model %>% fit(training, trainingtarget, 
+     epochs = 50, batch_size = FLAGS$batch_size, validation_split = 0.2, 
+     callbacks = lis .... [TRUNCATED] ";"runs/2024-03-14T15-11-01Z/tfruns.d/source.tar.gz";"local";"training"
"runs/2024-03-14T15-10-53Z";5,0407;1,7212;9,0984;2,4383;64;16;16;8;0,2;0,3;0,2;0,1;64;50;30;"runs/2024-03-14T15-10-53Z/tfruns.d/metrics.json";"Model: ""sequential""
________________________________________________________________________________
 Layer (type)                       Output Shape                    Param #     
================================================================================
 dense_4 (Dense)                    (None, 64)                      1664        
 dropout_3 (Dropout)                (None, 64)                      0           
 dense_3 (Dense)                    (None, 16)                      1040        
 dropout_2 (Dropout)                (None, 16)                      0           
 dense_2 (Dense)                    (None, 16)                      272         
 dropout_1 (Dropout)                (None, 16)                      0           
 dense_1 (Dense)                    (None, 8)                       136         
 dropout (Dropout)                  (None, 8)                       0           
 dense (Dense)                      (None, 1)                       9           
================================================================================
Total params: 3121 (12.19 KB)
Trainable params: 3121 (12.19 KB)
Non-trainable params: 0 (0.00 Byte)
________________________________________________________________________________";"mse";"<keras.src.optimizers.rmsprop.RMSprop object at 0x7f9dfa07cfa0>";0,00100000004749745;"Experiment.R";2024-03-14 15:10:54.95397;2024-03-14 15:11:01.7906;TRUE;"
> FLAGS <- flags(flag_integer(""dense_units1"", 64), flag_integer(""dense_units2"", 
+     32), flag_integer(""dense_units3"", 16), flag_integer(""dense_unit ..."" ... [TRUNCATED] 

> model <- keras_model_sequential() %>% layer_dense(units = FLAGS$dense_units1, 
+     activation = ""relu"", input_shape = c(25)) %>% layer_dropout(rat .... [TRUNCATED] 

> model %>% compile(loss = ""mse"", optimizer = ""rmsprop"", 
+     metrics = ""mae"")

> mon_callback <- callback_early_stopping(monitor = ""val_mae"", 
+     patience = 10, restore_best_weights = TRUE)

> history <- model %>% fit(training, trainingtarget, 
+     epochs = 50, batch_size = FLAGS$batch_size, validation_split = 0.2, 
+     callbacks = lis .... [TRUNCATED] ";"runs/2024-03-14T15-10-53Z/tfruns.d/source.tar.gz";"local";"training"
"runs/2024-03-14T15-10-41Z";5,1887;1,754;8,3704;2,362;32;16;16;8;0,2;0,3;0,2;0,1;64;50;33;"runs/2024-03-14T15-10-41Z/tfruns.d/metrics.json";"Model: ""sequential""
________________________________________________________________________________
 Layer (type)                       Output Shape                    Param #     
================================================================================
 dense_4 (Dense)                    (None, 32)                      832         
 dropout_3 (Dropout)                (None, 32)                      0           
 dense_3 (Dense)                    (None, 16)                      528         
 dropout_2 (Dropout)                (None, 16)                      0           
 dense_2 (Dense)                    (None, 16)                      272         
 dropout_1 (Dropout)                (None, 16)                      0           
 dense_1 (Dense)                    (None, 8)                       136         
 dropout (Dropout)                  (None, 8)                       0           
 dense (Dense)                      (None, 1)                       9           
================================================================================
Total params: 1777 (6.94 KB)
Trainable params: 1777 (6.94 KB)
Non-trainable params: 0 (0.00 Byte)
________________________________________________________________________________";"mse";"<keras.src.optimizers.rmsprop.RMSprop object at 0x7f9dfbf1a0b0>";0,00100000004749745;"Experiment.R";2024-03-14 15:10:42.65305;2024-03-14 15:10:53.51548;TRUE;"
> FLAGS <- flags(flag_integer(""dense_units1"", 64), flag_integer(""dense_units2"", 
+     32), flag_integer(""dense_units3"", 16), flag_integer(""dense_unit ..."" ... [TRUNCATED] 

> model <- keras_model_sequential() %>% layer_dense(units = FLAGS$dense_units1, 
+     activation = ""relu"", input_shape = c(25)) %>% layer_dropout(rat .... [TRUNCATED] 

> model %>% compile(loss = ""mse"", optimizer = ""rmsprop"", 
+     metrics = ""mae"")

> mon_callback <- callback_early_stopping(monitor = ""val_mae"", 
+     patience = 10, restore_best_weights = TRUE)

> history <- model %>% fit(training, trainingtarget, 
+     epochs = 50, batch_size = FLAGS$batch_size, validation_split = 0.2, 
+     callbacks = lis .... [TRUNCATED] ";"runs/2024-03-14T15-10-41Z/tfruns.d/source.tar.gz";"local";"training"
"runs/2024-03-14T15-10-34Z";5,5488;1,7906;8,2584;2,3367;64;32;8;8;0,2;0,3;0,2;0,1;64;50;25;"runs/2024-03-14T15-10-34Z/tfruns.d/metrics.json";"Model: ""sequential""
________________________________________________________________________________
 Layer (type)                       Output Shape                    Param #     
================================================================================
 dense_4 (Dense)                    (None, 64)                      1664        
 dropout_3 (Dropout)                (None, 64)                      0           
 dense_3 (Dense)                    (None, 32)                      2080        
 dropout_2 (Dropout)                (None, 32)                      0           
 dense_2 (Dense)                    (None, 8)                       264         
 dropout_1 (Dropout)                (None, 8)                       0           
 dense_1 (Dense)                    (None, 8)                       72          
 dropout (Dropout)                  (None, 8)                       0           
 dense (Dense)                      (None, 1)                       9           
================================================================================
Total params: 4089 (15.97 KB)
Trainable params: 4089 (15.97 KB)
Non-trainable params: 0 (0.00 Byte)
________________________________________________________________________________";"mse";"<keras.src.optimizers.rmsprop.RMSprop object at 0x7f9dfbed6b30>";0,00100000004749745;"Experiment.R";2024-03-14 15:10:35.55039;2024-03-14 15:10:41.23786;TRUE;"
> FLAGS <- flags(flag_integer(""dense_units1"", 64), flag_integer(""dense_units2"", 
+     32), flag_integer(""dense_units3"", 16), flag_integer(""dense_unit ..."" ... [TRUNCATED] 

> model <- keras_model_sequential() %>% layer_dense(units = FLAGS$dense_units1, 
+     activation = ""relu"", input_shape = c(25)) %>% layer_dropout(rat .... [TRUNCATED] 

> model %>% compile(loss = ""mse"", optimizer = ""rmsprop"", 
+     metrics = ""mae"")

> mon_callback <- callback_early_stopping(monitor = ""val_mae"", 
+     patience = 10, restore_best_weights = TRUE)

> history <- model %>% fit(training, trainingtarget, 
+     epochs = 50, batch_size = FLAGS$batch_size, validation_split = 0.2, 
+     callbacks = lis .... [TRUNCATED] ";"runs/2024-03-14T15-10-34Z/tfruns.d/source.tar.gz";"local";"training"
"runs/2024-03-14T15-10-26Z";5,7041;1,7977;8,8104;2,408;32;32;8;8;0,2;0,3;0,2;0,1;64;50;30;"runs/2024-03-14T15-10-26Z/tfruns.d/metrics.json";"Model: ""sequential""
________________________________________________________________________________
 Layer (type)                       Output Shape                    Param #     
================================================================================
 dense_4 (Dense)                    (None, 32)                      832         
 dropout_3 (Dropout)                (None, 32)                      0           
 dense_3 (Dense)                    (None, 32)                      1056        
 dropout_2 (Dropout)                (None, 32)                      0           
 dense_2 (Dense)                    (None, 8)                       264         
 dropout_1 (Dropout)                (None, 8)                       0           
 dense_1 (Dense)                    (None, 8)                       72          
 dropout (Dropout)                  (None, 8)                       0           
 dense (Dense)                      (None, 1)                       9           
================================================================================
Total params: 2233 (8.72 KB)
Trainable params: 2233 (8.72 KB)
Non-trainable params: 0 (0.00 Byte)
________________________________________________________________________________";"mse";"<keras.src.optimizers.rmsprop.RMSprop object at 0x7f9dfc0ebcd0>";0,00100000004749745;"Experiment.R";2024-03-14 15:10:27.60794;2024-03-14 15:10:34.77266;TRUE;"
> FLAGS <- flags(flag_integer(""dense_units1"", 64), flag_integer(""dense_units2"", 
+     32), flag_integer(""dense_units3"", 16), flag_integer(""dense_unit ..."" ... [TRUNCATED] 

> model <- keras_model_sequential() %>% layer_dense(units = FLAGS$dense_units1, 
+     activation = ""relu"", input_shape = c(25)) %>% layer_dropout(rat .... [TRUNCATED] 

> model %>% compile(loss = ""mse"", optimizer = ""rmsprop"", 
+     metrics = ""mae"")

> mon_callback <- callback_early_stopping(monitor = ""val_mae"", 
+     patience = 10, restore_best_weights = TRUE)

> history <- model %>% fit(training, trainingtarget, 
+     epochs = 50, batch_size = FLAGS$batch_size, validation_split = 0.2, 
+     callbacks = lis .... [TRUNCATED] ";"runs/2024-03-14T15-10-26Z/tfruns.d/source.tar.gz";"local";"training"
"runs/2024-03-14T15-10-16Z";5,2129;1,7438;8,0718;2,3008;64;16;8;8;0,2;0,3;0,2;0,1;64;50;34;"runs/2024-03-14T15-10-16Z/tfruns.d/metrics.json";"Model: ""sequential""
________________________________________________________________________________
 Layer (type)                       Output Shape                    Param #     
================================================================================
 dense_4 (Dense)                    (None, 64)                      1664        
 dropout_3 (Dropout)                (None, 64)                      0           
 dense_3 (Dense)                    (None, 16)                      1040        
 dropout_2 (Dropout)                (None, 16)                      0           
 dense_2 (Dense)                    (None, 8)                       136         
 dropout_1 (Dropout)                (None, 8)                       0           
 dense_1 (Dense)                    (None, 8)                       72          
 dropout (Dropout)                  (None, 8)                       0           
 dense (Dense)                      (None, 1)                       9           
================================================================================
Total params: 2921 (11.41 KB)
Trainable params: 2921 (11.41 KB)
Non-trainable params: 0 (0.00 Byte)
________________________________________________________________________________";"mse";"<keras.src.optimizers.rmsprop.RMSprop object at 0x7f9dfc1865f0>";0,00100000004749745;"Experiment.R";2024-03-14 15:10:18.05536;2024-03-14 15:10:26.80607;TRUE;"
> FLAGS <- flags(flag_integer(""dense_units1"", 64), flag_integer(""dense_units2"", 
+     32), flag_integer(""dense_units3"", 16), flag_integer(""dense_unit ..."" ... [TRUNCATED] 

> model <- keras_model_sequential() %>% layer_dense(units = FLAGS$dense_units1, 
+     activation = ""relu"", input_shape = c(25)) %>% layer_dropout(rat .... [TRUNCATED] 

> model %>% compile(loss = ""mse"", optimizer = ""rmsprop"", 
+     metrics = ""mae"")

> mon_callback <- callback_early_stopping(monitor = ""val_mae"", 
+     patience = 10, restore_best_weights = TRUE)

> history <- model %>% fit(training, trainingtarget, 
+     epochs = 50, batch_size = FLAGS$batch_size, validation_split = 0.2, 
+     callbacks = lis .... [TRUNCATED] ";"runs/2024-03-14T15-10-16Z/tfruns.d/source.tar.gz";"local";"training"
"runs/2024-03-14T15-10-02Z";5,5682;1,8066;8,4026;2,3508;32;16;8;8;0,2;0,3;0,2;0,1;64;50;38;"runs/2024-03-14T15-10-02Z/tfruns.d/metrics.json";"Model: ""sequential""
________________________________________________________________________________
 Layer (type)                       Output Shape                    Param #     
================================================================================
 dense_4 (Dense)                    (None, 32)                      832         
 dropout_3 (Dropout)                (None, 32)                      0           
 dense_3 (Dense)                    (None, 16)                      528         
 dropout_2 (Dropout)                (None, 16)                      0           
 dense_2 (Dense)                    (None, 8)                       136         
 dropout_1 (Dropout)                (None, 8)                       0           
 dense_1 (Dense)                    (None, 8)                       72          
 dropout (Dropout)                  (None, 8)                       0           
 dense (Dense)                      (None, 1)                       9           
================================================================================
Total params: 1577 (6.16 KB)
Trainable params: 1577 (6.16 KB)
Non-trainable params: 0 (0.00 Byte)
________________________________________________________________________________";"mse";"<keras.src.optimizers.rmsprop.RMSprop object at 0x7f9dfa1b2200>";0,00100000004749745;"Experiment.R";2024-03-14 15:10:03.65254;2024-03-14 15:10:16.68092;TRUE;"
> FLAGS <- flags(flag_integer(""dense_units1"", 64), flag_integer(""dense_units2"", 
+     32), flag_integer(""dense_units3"", 16), flag_integer(""dense_unit ..."" ... [TRUNCATED] 

> model <- keras_model_sequential() %>% layer_dense(units = FLAGS$dense_units1, 
+     activation = ""relu"", input_shape = c(25)) %>% layer_dropout(rat .... [TRUNCATED] 

> model %>% compile(loss = ""mse"", optimizer = ""rmsprop"", 
+     metrics = ""mae"")

> mon_callback <- callback_early_stopping(monitor = ""val_mae"", 
+     patience = 10, restore_best_weights = TRUE)

> history <- model %>% fit(training, trainingtarget, 
+     epochs = 50, batch_size = FLAGS$batch_size, validation_split = 0.2, 
+     callbacks = lis .... [TRUNCATED] ";"runs/2024-03-14T15-10-02Z/tfruns.d/source.tar.gz";"local";"training"
"runs/2024-03-14T15-09-56Z";5,9498;1,8319;7,6369;2,2522;64;32;16;4;0,2;0,3;0,2;0,1;64;50;24;"runs/2024-03-14T15-09-56Z/tfruns.d/metrics.json";"Model: ""sequential""
________________________________________________________________________________
 Layer (type)                       Output Shape                    Param #     
================================================================================
 dense_4 (Dense)                    (None, 64)                      1664        
 dropout_3 (Dropout)                (None, 64)                      0           
 dense_3 (Dense)                    (None, 32)                      2080        
 dropout_2 (Dropout)                (None, 32)                      0           
 dense_2 (Dense)                    (None, 16)                      528         
 dropout_1 (Dropout)                (None, 16)                      0           
 dense_1 (Dense)                    (None, 4)                       68          
 dropout (Dropout)                  (None, 4)                       0           
 dense (Dense)                      (None, 1)                       5           
================================================================================
Total params: 4345 (16.97 KB)
Trainable params: 4345 (16.97 KB)
Non-trainable params: 0 (0.00 Byte)
________________________________________________________________________________";"mse";"<keras.src.optimizers.rmsprop.RMSprop object at 0x7f9dfc59ea10>";0,00100000004749745;"Experiment.R";2024-03-14 15:09:57.4204;2024-03-14 15:10:02.84071;TRUE;"
> FLAGS <- flags(flag_integer(""dense_units1"", 64), flag_integer(""dense_units2"", 
+     32), flag_integer(""dense_units3"", 16), flag_integer(""dense_unit ..."" ... [TRUNCATED] 

> model <- keras_model_sequential() %>% layer_dense(units = FLAGS$dense_units1, 
+     activation = ""relu"", input_shape = c(25)) %>% layer_dropout(rat .... [TRUNCATED] 

> model %>% compile(loss = ""mse"", optimizer = ""rmsprop"", 
+     metrics = ""mae"")

> mon_callback <- callback_early_stopping(monitor = ""val_mae"", 
+     patience = 10, restore_best_weights = TRUE)

> history <- model %>% fit(training, trainingtarget, 
+     epochs = 50, batch_size = FLAGS$batch_size, validation_split = 0.2, 
+     callbacks = lis .... [TRUNCATED] ";"runs/2024-03-14T15-09-56Z/tfruns.d/source.tar.gz";"local";"training"
"runs/2024-03-14T15-09-45Z";5,6699;1,7949;7,1066;2,1814;32;32;16;4;0,2;0,3;0,2;0,1;64;50;50;"runs/2024-03-14T15-09-45Z/tfruns.d/metrics.json";"Model: ""sequential""
________________________________________________________________________________
 Layer (type)                       Output Shape                    Param #     
================================================================================
 dense_4 (Dense)                    (None, 32)                      832         
 dropout_3 (Dropout)                (None, 32)                      0           
 dense_3 (Dense)                    (None, 32)                      1056        
 dropout_2 (Dropout)                (None, 32)                      0           
 dense_2 (Dense)                    (None, 16)                      528         
 dropout_1 (Dropout)                (None, 16)                      0           
 dense_1 (Dense)                    (None, 4)                       68          
 dropout (Dropout)                  (None, 4)                       0           
 dense (Dense)                      (None, 1)                       5           
================================================================================
Total params: 2489 (9.72 KB)
Trainable params: 2489 (9.72 KB)
Non-trainable params: 0 (0.00 Byte)
________________________________________________________________________________";"mse";"<keras.src.optimizers.rmsprop.RMSprop object at 0x7f9dfc80d5d0>";0,00100000004749745;"Experiment.R";2024-03-14 15:09:46.60599;2024-03-14 15:09:56.6425;TRUE;"
> FLAGS <- flags(flag_integer(""dense_units1"", 64), flag_integer(""dense_units2"", 
+     32), flag_integer(""dense_units3"", 16), flag_integer(""dense_unit ..."" ... [TRUNCATED] 

> model <- keras_model_sequential() %>% layer_dense(units = FLAGS$dense_units1, 
+     activation = ""relu"", input_shape = c(25)) %>% layer_dropout(rat .... [TRUNCATED] 

> model %>% compile(loss = ""mse"", optimizer = ""rmsprop"", 
+     metrics = ""mae"")

> mon_callback <- callback_early_stopping(monitor = ""val_mae"", 
+     patience = 10, restore_best_weights = TRUE)

> history <- model %>% fit(training, trainingtarget, 
+     epochs = 50, batch_size = FLAGS$batch_size, validation_split = 0.2, 
+     callbacks = lis .... [TRUNCATED] ";"runs/2024-03-14T15-09-45Z/tfruns.d/source.tar.gz";"local";"training"
