"shrinkage";"n.trees";"interaction.depth";"n.minobsinnode";"rmse";"r_squared";"mae"
0,01;1000;3;2;2,06;0,482063764901772;1,59010147695063
0,01;1500;3;2;2,03;0,493818910930105;1,56186782127156
0,01;1700;3;2;2,02;0,498003232436535;1,5533440542274
0,01;2000;3;2;2,02;0,497866062415976;1,54970762504849
0,01;3000;3;2;2;0,506314211726874;1,53395648441989
0,02;1000;3;2;2,02;0,496415544399597;1,55407284406261
0,02;1500;3;2;1,99;0,511394298090071;1,52064970159785
0,02;1700;3;2;1,99;0,511846023700119;1,51816826416467
0,02;2000;3;2;2;0,506143122941602;1,52524880012365
0,02;3000;3;2;1,99;0,510960577728219;1,51057866549838
0,05;1000;3;2;2,01;0,498746581061429;1,54259366808902
0,05;1500;3;2;2,02;0,494256186223975;1,53532601046112
0,05;1700;3;2;2,05;0,480452414589249;1,55315988206337
0,05;2000;3;2;2,02;0,498029612650013;1,53908411571673
0,05;3000;3;2;2,05;0,480422427599035;1,56260868097189
0,001;1000;3;2;2,37;0,415627756311573;1,87043006381641
0,001;1500;3;2;2,27;0,427824505616567;1,79207368872758
0,001;1700;3;2;2,24;0,430808510369936;1,7699044105967
0,001;2000;3;2;2,21;0,439268968889471;1,73744367713838
0,001;3000;3;2;2,15;0,451820960967163;1,67409025201756
0,002;1000;3;2;2,21;0,437418115986239;1,74008523930565
0,002;1500;3;2;2,15;0,451806412738697;1,67490050805221
0,002;1700;3;2;2,13;0,454043041606424;1,66129155020414
0,002;2000;3;2;2,11;0,46169372408942;1,64293633361002
0,002;3000;3;2;2,09;0,470054967810061;1,61931932923555
0,005;1000;3;2;2,1;0,467367095647668;1,62829934974094
0,005;1500;3;2;2,07;0,476785117840882;1,60221792987284
0,005;1700;3;2;2,06;0,48211202143818;1,59080880815466
0,005;2000;3;2;2,05;0,483594964122054;1,5837542854471
0,005;3000;3;2;2,03;0,493583607097998;1,56167635402075
0,01;1000;5;2;2,03;0,495796214483943;1,55745992446553
0,01;1500;5;2;1,99;0,514269295739947;1,52164586015516
0,01;1700;5;2;2;0,505833804877825;1,52614920438819
0,01;2000;5;2;2;0,508747296981288;1,52200135593333
0,01;3000;5;2;1,97;0,520362336522622;1,50286787145591
0,02;1000;5;2;1,99;0,511008614489858;1,52134016391381
0,02;1500;5;2;2;0,509134655489702;1,51246492623378
0,02;1700;5;2;1,99;0,509616688801874;1,51120248509076
0,02;2000;5;2;1,98;0,515171623674004;1,50344585998174
0,02;3000;5;2;1,98;0,51564694756769;1,49712710122747
0,05;1000;5;2;1,99;0,510264056874059;1,51400299017373
0,05;1500;5;2;2,02;0,497783593311959;1,52093848508893
0,05;1700;5;2;2,02;0,494668085126765;1,53521383701164
0,05;2000;5;2;2,04;0,487321596552699;1,53962825761028
0,05;3000;5;2;2,05;0,479172735775577;1,56527650462185
0,001;1000;5;2;2,31;0,439894901901105;1,827624217442
0,001;1500;5;2;2,21;0,454811470412219;1,73923375435576
0,001;1700;5;2;2,18;0,45886657942068;1,71466216404213
0,001;2000;5;2;2,16;0,462219804081521;1,6856656510441
0,001;3000;5;2;2,1;0,47453834075597;1,62739254078477
0,002;1000;5;2;2,15;0,46406400869432;1,68368744303694
0,002;1500;5;2;2,1;0,476270182173864;1,62540587360595
0,002;1700;5;2;2,08;0,478613660357036;1,61426384233257
0,002;2000;5;2;2,07;0,482291546371467;1,60228220105962
0,002;3000;5;2;2,05;0,490588427442681;1,57673592867218
0,005;1000;5;2;2,05;0,48956299747319;1,58452732494043
0,005;1500;5;2;2,02;0,499996767411777;1,55827551425024
0,005;1700;5;2;2,03;0,496502949983309;1,55986746497613
0,005;2000;5;2;2,02;0,501737538619459;1,5493290889727
0,005;3000;5;2;2;0,510282554087292;1,52969748665441
0,01;1000;6;2;2,01;0,50636233674188;1,53847323884226
0,01;1500;6;2;1,99;0,512900813309604;1,52051740515191
0,01;1700;6;2;1,98;0,51663600216136;1,51143526893417
0,01;2000;6;2;1,98;0,516198334960431;1,50529997589415
0,01;3000;6;2;1,99;0,513604136403009;1,50681147713308
0,02;1000;6;2;1,99;0,514354547590737;1,51545186126313
0,02;1500;6;2;1,98;0,514657840917543;1,50467509632289
0,02;1700;6;2;1,97;0,520333917645488;1,49035104912708
0,02;2000;6;2;1,96;0,522797090462146;1,49017860202569
0,02;3000;6;2;2,02;0,499197240374959;1,52000312724728
0,05;1000;6;2;1,99;0,508135976394499;1,51979216361759
0,05;1500;6;2;2,02;0,495149114332972;1,53790690608653
0,05;1700;6;2;2,05;0,485382254244212;1,54793279195377
0,05;2000;6;2;2,05;0,481892709708352;1,56233772910657
0,05;3000;6;2;2,04;0,487338333519594;1,55171510162614
0,001;1000;6;2;2,29;0,452144863275644;1,80939360404847
0,001;1500;6;2;2,2;0,462133482695728;1,72374824841311
0,001;1700;6;2;2,17;0,468142404628827;1,69603353264425
0,001;2000;6;2;2,14;0,472287498957829;1,66617881445351
0,001;3000;6;2;2,08;0,483185720402179;1,61228335552378
0,002;1000;6;2;2,14;0,470441430786968;1,66992556987978
0,002;1500;6;2;2,08;0,483059645849701;1,60982039273725
0,002;1700;6;2;2,07;0,485549415752268;1,60107530800804
0,002;2000;6;2;2,06;0,489275369641403;1,58821909222355
0,002;3000;6;2;2,03;0,500174131923935;1,56093502151394
0,005;1000;6;2;2,04;0,496924760268368;1,5727032086788
0,005;1500;6;2;2,02;0,50050089358154;1,55299340242229
0,005;1700;6;2;2,01;0,503623230567494;1,54738040478732
0,005;2000;6;2;2;0,508029180113582;1,53606972061285
0,005;3000;6;2;1,98;0,516639294955014;1,51117261768766
0,01;1000;8;2;1,99;0,514679212116119;1,51978533768343
0,01;1500;8;2;1,99;0,514407053012782;1,51193466425727
0,01;1700;8;2;1,98;0,519382984246289;1,50701686805361
0,01;2000;8;2;1,97;0,520680873734254;1,49574547134756
0,01;3000;8;2;1,98;0,514318985287248;1,5055913581104
0,02;1000;8;2;1,98;0,514194071559606;1,51117579355189
0,02;1500;8;2;1,97;0,521691402567662;1,49379799396333
0,02;1700;8;2;1,96;0,527028060814141;1,49223207947957
0,02;2000;8;2;1,98;0,517331233570995;1,49491439181457
0,02;3000;8;2;2,02;0,498734230180643;1,54132783091395
